food_name|serving_size|serving_size_unit|description|energy|energy_unit|protein|protein_unit|total_fat|total_fat_unit|saturated_fat|saturated_fat_unit|dietary_fibre|dietary_fibre_unit|carbohydrate|carbohydrate_unit|cholesterol|cholesterol_unit|sodium|sodium_unit
2-in-1 coffee powder, with creamer|12|g|Instant coffee with creamer, no sugar|56.28|kcal|0.82|g|2.44|g|1.95|g|0.46|g|7.79|g|0.16|mg|23.04|mg
2-in-1 coffee powder, with sugar|15|g|Instant coffee with sugar|60.6|kcal|0.87|g|0.45|g|0.2|g|1.2|g|13.28|g|||21.15|mg
3 in 1 ready to drink coffee instant|240|g||81.6|kcal|2.4|g|1.92|g|1.3|g|0.24|g|14.16|g|3.36|mg|112.8|mg
3-in-1 cereal|30|g|Flakes of whole wheat, rice, malt extract with non-dairy creamer, sugar and calcium phosphate added, commercial packed|89.1|kcal|2.37|g|3.03|g|1.74|g|1.17|g|13.11|g|1.8|mg|134.1|mg
3-in-1 coffee powder|20|g|Coffee powder with non-dairy creamer and sugar added, commercial packet|65.4|kcal|1.13|g|2.62|g|2.22|g|||9.31|g|0.5|mg|12.94|mg
3-in-1 coffee powder, less sugar, low fat (HCS)|18|g||73.19|kcal|0.77|g|1.24|g|0.72|g|0.54|g|14.74|g|||8.51|mg
3-in-1 coffee powder, low sugar|18|g||73.19|kcal|0.77|g|1.24|g|0.72|g|0.54|g|14.74|g|||8.51|mg
3-in-1 instant cereal (HCS)|30|g|Mixed cereal (wheat, corn, rice), with non-dairy creamer and sugar|79.2|kcal|1.41|g|2.82|g|2.6|g|1.68|g|12.06|g|||75.9|mg
3-in-1 tea, powder|19|g||58.33|kcal|0.7|g|1.75|g|1.18|g|0.61|g|9.92|g|1.14|mg|23.94|mg
4 in 1 brown rice cereal|30|g||126|kcal|1.5|g|2.49|g|1.8|g|1.11|g|24.99|g|||84|mg
6-Inch Hearty Italian Bread, Subway|71|g||205.19|kcal|7.1|g|2.5|g|0.8|g|2|g|37|g|||296.07|mg
6-Inch Honey Oat Bread, Subway|80|g||231.2|kcal|8.8|g|2.9|g|0.56|g|4|g|39|g|||324.8|mg
6-Inch Italian (white) Bread, Subway|67|g||192.29|kcal|6.7|g|2.4|g|0.8|g|2|g|34|g|||296.14|mg
6-Inch Parmesan Oregano Bread, Subway|71|g||205.9|kcal|7.81|g|2.9|g|1|g|2|g|36|g|||421.03|mg
6-Inch Wheat Bread, Subway|69|g||189.75|kcal|8.28|g|2.6|g|0.9|g|3|g|32|g|||280.83|mg
6-inch Ham Sandwich, Subway|216|g|6-inch sandwich with 6g of fats or less. Values include wheat bread, lettuce, tomatoes, onions, green peppers, pickles and olives.|263.52|kcal|17.28|g|4.6|g|1.6|g|4|g|37|g|25.92|mg|1069.2|mg
6-inch Italian BMT Sandwich, Subway|228|g|6-inch Sandwich. Values include wheat bread, cheese, lettuce, tomatoes, onions, green peppers, pickles and olives.|426.36|kcal|22.8|g|20|g|8.3|g|3.99|g|38.01|g|54.72|mg|1605.12|mg
6-inch Meatball Marinara Sandwich, Subway|339|g|6-inch Sandwich. Values include wheat bread, cheese, lettuce, tomatoes, onions, green peppers, pickles and olives.|471.21|kcal|20.34|g|20|g|8|g|4.98|g|52.99|g|67.8|mg|1223.79|mg
6-inch Oven Roasted Chicken Breast Sandwich, Subway|230|g|6-inch sandwich with 6g of fats or less. Values include wheat bread, lettuce, tomatoes, onions, green peppers, pickles and olives.|305.9|kcal|23|g|5.29|g|1.61|g|5.06|g|40.94|g|23|mg|807.3|mg
6-inch Roast Beef Sandwich, Subway|210|g|6-inch sandwich with 6g of fats or less. Values include wheat bread, lettuce, tomatoes, onions, green peppers, pickles and olives.|270.9|kcal|18.9|g|4.49|g|1.7|g|3.99|g|38.01|g|71.4|mg|648.9|mg
6-inch Spicy Italian Sandwich, Subway|224|g|6-inch Sandwich. Values include wheat bread, cheese, lettuce, tomatoes, onions, green peppers, pickles and olives.|497.28|kcal|22.4|g|28|g|11.29|g|5|g|38.08|g|62.72|mg|1693.44|mg
6-inch Steak and Cheese Sandwich, Subway|270|g|6-inch Sandwich. Values include wheat bread, cheese, lettuce, tomatoes, onions, green peppers, pickles and olives.|394.2|kcal|27|g|11.99|g|5.4|g|5|g|42.01|g|56.7|mg|1085.4|mg
6-inch Subway Club Sandwich, Subway|243|g|6-inch sandwich with 6g of fats or less. Values include wheat bread, lettuce, tomatoes, onions, green peppers, pickles and olives.|298.89|kcal|24.3|g|5.2|g|1.8|g|4.01|g|38.98|g|38.88|mg|1057.05|mg
6-inch Subway Melt Sandwich, Subway|240|g|6-inch Sandwich. Values include wheat bread, cheese, lettuce, tomatoes, onions, green peppers, pickles and olives.|360|kcal|24|g|10.99|g|5.3|g|4.01|g|39|g|45.6|mg|1404|mg
6-inch Sweet Onion Chicken Teriyaki Sandwich, Subway|267|g|6-inch sandwich with 6g of fats or less. Values include wheat bread, lettuce, tomatoes, onions, green peppers, pickles and olives.|355.11|kcal|26.7|g|4.81|g|1.5|g|4.01|g|50.01|g|48.06|mg|881.1|mg
6-inch Tuna Sandwich, Subway|236|g|6-inch Sandwich. Values include wheat bread, cheese, lettuce, tomatoes, onions, green peppers, pickles and olives.|507.4|kcal|21.24|g|30|g|6.89|g|3.99|g|35.99|g|44.84|mg|800.04|mg
6-inch Turkey Breast and Ham Sandwich, Subway|219|g|6-inch sandwich with 6g of fats or less. Values include wheat bread, lettuce, tomatoes, onions, green peppers, pickles and olives.|271.56|kcal|19.71|g|4.49|g|1.49|g|4.01|g|38|g|26.28|mg|1011.78|mg
6-inch Turkey breast Sandwich, Subway|219|g|6-inch sandwich with 6g of fats or less. Values include wheat bread, lettuce, tomatoes, onions, green peppers, pickles and olives.|271.56|kcal|19.71|g|4.49|g|1.49|g|4.01|g|38|g|26.28|mg|1011.78|mg
6-inch Veggie Delite Sandwich, Subway|153|g|6-inch sandwich with 6g of fats or less. Values include wheat bread, lettuce, tomatoes, onions, green peppers, pickles and olives.|205.02|kcal|9.18|g|2.69|g|0.9|g|3.99|g|35.01|g|||284.58|mg
Abalone noodles, soup|502|g|Egg noodles with sliced abalone and chye sim|243.97|kcal|18.22|g|4.52|g|1.66|g|2.46|g|32.68|g|32.63|mg|1543.65|mg
Abalone, canned|64|g||64.64|kcal|13.95|g|0.32|g|||||0.64|g|||384|mg
Abalone, canned, brine only|244|g|Brine from canned abalone|75.64|kcal|12.2|g|0.1|g|||||6.34|g|||1832.44|mg
Abalone, canned, drained|212|g|Processed abalone in brine, packed in cans, drained before sampling|178.08|kcal|36.46|g|1.06|g|0.36|g|||5.94|g|163.24|mg|1411.92|mg
Abalone, dried|10.5|g||31.82|kcal|6.77|g|0.21|g|0.11|g|||0.3|g|125.9|mg|315|mg
Abalone, raw|64|g||15.62|kcal|3.33|g|0.1|g|0.05|g|||0.15|g|30.98|mg|122.88|mg
Abalone, soup|203.71|g|Abalone soup with mushroom, pork, lettuce, ginger, spring onion and chinese rice wine|93.71|kcal|12.22|g|4.07|g|1.36|g|1.02|g|2.04|g|128.34|mg|1045.03|mg
Abok abok sago|1|g||3.72|kcal|0.03|g|0.17|g|0.15|g|0.04|g|0.5|g|||3.96|mg
Acai bowl|347|g||374.76|kcal|7.98|g|13.91|g|4.23|g|7.98|g|54.13|g|||63.5|mg
Achar|174.3|g|Pickled vegetables|166.67|kcal|2.98|g|3.14|g|1.1|g|2.98|g|36.08|g|||945.93|mg
African bream, fried in chilli|60|g||146.4|kcal|11.9|g|8.96|g|||0.05|g|4.48|g|||183.76|mg
Agar-agar, plain|50|g|Plain jelly|38.5|kcal|0.1|g|0.1|g|0.08|g|0.25|g|9.3|g|||3.5|mg
Agedeshi tofu|12|g|Tofu, breaded, deep fried, with soy sauce, Japanese style|15.08|kcal|0.47|g|1.19|g|0.33|g|0.07|g|0.63|g|0.1|mg|15.7|mg
Aiyu Dessert with Red Bean Toppings|359|g|Aiyu jelly and red beans|376.95|kcal|1.8|g|24.38|g|6.17|g|4.31|g|37.7|g|||32.17|mg
Ajinomoto, MSG|5|g||||||||||||||||615|mg
Ale|500|g|beer, ale|177.05|kcal|2|g|||||||7|g|||50|mg
Allspice, ground|6|g||15.78|kcal|0.37|g|0.52|g|0.15|g|1.3|g|3.03|g|||4.62|mg
Almond jelly|200|g|Jelly made from almond powder|150|kcal|2.4|g|1.2|g|0.7|g|||32.8|g|3.8|mg|28|mg
Almond paste|262|g||214.84|kcal|5.5|g|11.27|g|0.71|g|1.57|g|23.06|g|||30.65|mg
Aloe vera|100|g|Fresh and slimy aloe vera pulp, removed from a thick aloe vera leaf.|2.31|kcal|||||||0.01|g|0.57|g|||16.24|mg
Aloe vera drink|523|g||172.59|kcal|||||||0.52|g|43.93|g|||10.46|mg
Aloe vera with jelly dessert|460.79|g|Sweet syrup served with small but juicy aloe vera cubes and chunks of soft jelly, with lime to add zest|122.29|kcal|||||||0.22|g|30.57|g|||3.98|mg
Amocan Singapore Rendang Paste|15|g||44.7|kcal|0.42|g|3.05|g|1.95|g|0.76|g|3.92|g|0.3|mg|96.3|mg
Anchovy, canned in oil, drained|3.6|g|ikan bilis, jiang yu zhai, gong yu cai|6.56|kcal|0.91|g|0.32|g|0.07|g|||||2.77|mg|197.28|mg
Anchovy, dried, fried|27|g|Ikan bilis|125.28|kcal|14.29|g|7.57|g|3.35|g|||||20.25|mg|1244.7|mg
Anchovy, dried, with peanut, fried|100|g|Ikan bilis sambal|554.97|kcal|37.1|g|42.3|g|13.1|g|5.5|g|6.5|g|88|mg|2120|mg
Anchovy, fresh, whole|11.2|g||3.81|kcal|0.8|g|0.05|g|0.02|g|||0.03|g|2.94|mg|27.6|mg
Anchovy, minus head and entrail, dried, raw|.3|g||0.79|kcal|0.18|g|0.01|g|0|g|||0|g|0.58|mg|11.91|mg
Anchovy, whole, dried, raw|.1|g||0.26|kcal|0.06|g|0|g|0|g|||0|g|0.06|mg|0.36|mg
Ang koo kueh, green bean fillling|51|g||144.84|kcal|2.09|g|4.28|g|1.89|g|1.53|g|24.48|g|||14.28|mg
Ang koo kueh, peanut filling|67.8|g|Steamed local cake made with glutinous rice paste, with peanut filling|239.33|kcal|6.03|g|12.2|g|4.07|g|3.25|g|26.31|g|||35.93|mg
Anise seeds, dried|2.1|g||7.08|kcal|0.37|g|0.33|g|0.01|g|0.31|g|1.05|g|||0.34|mg
Apple Dippers with Caramel Sauce, McDonald's|89|g|Apple slices served with a low-fat caramel sauce|32.93|kcal|||||||1|g|7|g|||2|mg
Apple Juice|250|g|100% apple juice|100|kcal|||||||||24.75|g|||7.5|mg
Apple crumble|146.04|g|Sweet smelling apple crumble pie, with a crumbly pasta crust, and a succulent thick fruit mixture accompanied by sweet gold syrup, filled with apple chunks and a variety of fruits like raisins.|353.5|kcal|5.84|g|14.85|g|11.54|g|6.05|g|49.11|g|11.76|mg|92.18|mg
Apple juice|250|g|100% apple juice|100|kcal|||||||||24.75|g|||7.5|mg
Apple juice drink|261|g|Beverage prepared by crushing apples and filtering or clarifying the resultant juice. Juice is not sparkling or carbonated|104.27|kcal|||||||||26.36|g|||23.49|mg
Apple juice drink, with no added sugar|250|g|Apple juice drink, no added sugar|85|kcal|||||||0.5|g|21.25|g|||10|mg
Apple pie, McDonald's|85|g||232.05|kcal|1.7|g|13|g|6.3|g|2|g|26|g|||190.4|mg
Apple strudel|128|g||282.88|kcal|3.46|g|13.95|g|7.78|g|3.97|g|35.97|g|26.88|mg|138.24|mg
Apple, dried|101|g|Dried processed apple, sugar added|356.53|kcal|||0.51|g|0.12|g|9.9|g|77.27|g|||313.1|mg
Apple, green, raw, with peel, core and stalk|156|g|Apple, granny smith, raw with peel; epal hijau berkulit|70.73|kcal|0.43|g|0|g|0|g|3.3|g|15.36|g|||2.87|mg
Apple, red, raw, with peel, core and stalk|185|g|Apple, delicious, raw, with peel|96.09|kcal|0.51|g|0|g|0|g|3.74|g|21.79|g|||1.7|mg
Apple, stewed with sugar|187|g|Apple, stewed with sugar|127.83|kcal|0.56|g|0.37|g|||2.99|g|32.35|g|||3.74|mg
Apple, stewed without sugar|180|g||61.95|kcal|0.54|g|0.54|g|||2.88|g|14.76|g|||3.6|mg
Apple, unspecified type, red, raw, with skin|150|g|Averaged weighted results of red skinned apples including red delicious, jonathon, bonza, pink lady and fuji.|79.24|kcal|0.41|g|0.28|g|||3.17|g|16.84|g|||1.38|mg
Apples, raw, without skin|139|g||61.38|kcal|0.35|g|0.17|g|0.03|g|1.66|g|16.32|g||||
Apricot nectar juice drink|265|g|Commercially prepared product made from 35% 0r 50% apricot juice or puree, water and sugars. No vitamin C added.|136.93|kcal|0.8|g|||||||34.19|g|||10.6|mg
Apricot, canned in artificially sweetened juice|247|g|Apricot, canned in artificially sweetened juice|58.45|kcal|1.24|g|||||3.21|g|12.35|g|||7.41|mg
Apricot, canned in artificially sweetened liquid, drained|17|g|Canned apricots, drained of sugar-based syrup prior to analysis.|4.8|kcal|0.14|g|||||0.44|g|0.66|g|||0.51|mg
Apricot, canned in pear juice|247|g|Apricots canned in pear juice.|113.45|kcal|1.98|g|||||4.45|g|20.25|g|||9.88|mg
Apricot, canned in pear juice, drained|220|g|Canned apricots, drained of pear juice prior to analysis|103.14|kcal|2.2|g|||||6.82|g|17.16|g|||6.6|mg
Apricot, canned in syrup|260|g|Apricots canned in sugar syrup|158.6|kcal|1.82|g|||||4.42|g|33.54|g|||5.2|mg
Apricot, canned in syrup, drained|220|g|Canned apricots, drained of sugar-based syrup prior to analysis|135.78|kcal|1.98|g|||||6.82|g|27.06|g|||4.4|mg
Apricot, dried|202|g||521.16|kcal|1.62|g|0.4|g|0.14|g|19.59|g|127.87|g|||44.44|mg
Apricots|38|g||16.96|kcal|0.49|g|0.14|g|0.01|g|0.71|g|3.93|g|||0.35|mg
Aquaresin garlic|1|g||8.54|kcal|||0.95|g|0.13|g|||0.01|g|||1.75|mg
Artificial sweetener, aspartame|3.5|g||12.78|kcal|0.08|g|||||||3.12|g||||
Artificial sweetener, saccharin|.09|g||0.01|kcal|||||||0.01|g|||||9.9|mg
Arugula, raw|20|g||5|kcal|0.52|g|0.13|g|0.02|g|0.32|g|0.41|g|||5.4|mg
Asparagus, canned, solid and liquid|10|g||1.41|kcal|0.18|g|0.02|g|0|g|0.21|g|0.22|g|||34.8|mg
Asparagus, fresh, raw|9.8|g|long xu cai; lu sun, lu shun, lu sum|2.09|kcal|0.25|g|0.01|g|0|g|0.23|g|0.14|g|||0.2|mg
Assam buoy|3|g|Plum powder with sugar added, dried|5.31|kcal|0.03|g|0.01|g|||0.11|g|1.27|g|||210.15|mg
Assam chicken|87.35|g|Ayam goreng assam, Chicken, in tamarind, deep fried|191.3|kcal|28.04|g|8.74|g|3.21|g|0.7|g|0.26|g|83.86|mg|371.24|mg
Assam fish|183.6|g|Malay style fish with assam and chilli, Ikan masak assam pedas, assam fish, asam fish, spicy and sour fish curry, nyonya spicy tamarind fish,|123.31|kcal|20.78|g|3.72|g|2.15|g|1.86|g|2.03|g|60.81|mg|532.07|mg
Assam petai (Malay)|131|g|Petai beans, spice paste, stewed|111.35|kcal|8.25|g|6.68|g|2.28|g|6.97|g|4.32|g|23.97|mg|320.69|mg
Assam powder|15|g||35.7|kcal|0.14|g|||||0.47|g|8.76|g|||1194.6|mg
Assam prawn|414.5|g|Prawns with tamarind, stir-fried|369.48|kcal|33.16|g|17.23|g|9.4|g|0.26|g|20.37|g|355.14|mg|1684.32|mg
Assam prawn|414.5|g|Prawns with tamarind, stir-fried|369.48|kcal|33.16|g|17.23|g|9.4|g|0.26|g|20.37|g|355.14|mg|1684.32|mg
Athirasam, deep fried|55|g|Deep fried wheat dough in the shape of doughnut|238.15|kcal|1.98|g|9.52|g|4.28|g|0.83|g|36.14|g|||34.65|mg
Avocado juice, with added milk|250|g||127.5|kcal|2.75|g|9.5|g|2.48|g|2.5|g|7.75|g|||52.5|mg
Avocados, raw, all commercial varieties|272|g||322.05|kcal|4.03|g|29.51|g|4.28|g|13.49|g|17.17|g|||14.09|mg
Ayam buah keluak|662|g|Chicken buah keluak W/ black nuts and chilli|810.29|kcal|60.18|g|53.62|g|17.28|g|3.57|g|21.45|g|339.61|mg|2889.63|mg
Ayam kurmah|519|g|Chicken kurma; Chicken korma; Ayam korma|877.11|kcal|29.06|g|66.95|g|35.34|g|10.38|g|38.93|g|67.47|mg|1001.67|mg
Ayam masak lemak cili padi|230|g|Chicken, coconut and chilli, simmered|267.89|kcal|16.7|g|21.77|g|11.81|g|1.12|g|1.31|g|64.98|mg|376.82|mg
Ayam masak merah|111.6|g|Chicken cooked in red thick tomato sauce, malay style|89.22|kcal|7.62|g|5.44|g|1.41|g|2.61|g|2.39|g|28.29|mg|138.55|mg
Ayam panggang|170.82|g|Fresh chicken barbecued with shallots and red or brown onions, spicy|286.81|kcal|25.33|g|20.19|g|7.44|g|2.14|g|0.96|g|142.51|mg|139.54|mg
Ayam penyet with rice|499|g|Ayam penyet with rice, nasi ayam penyet|935.63|kcal|84.28|g|32.48|g|11.43|g|4.44|g|77.2|g|120.46|mg|1591.76|mg
Ayam sioh|385|g|Chicken sioh|517.44|kcal|46.57|g|28.78|g|9.38|g|6.14|g|18.11|g|187.57|mg|1361.51|mg
Ayam tempra|137.98|g|Chicken, with soya sauce, lime juice, brown onion, simmered|212.01|kcal|17.78|g|14.49|g|4.34|g|2.04|g|2.64|g|100.44|mg|379.33|mg
BBQ Turkey Bacon Double Cheeseburger, Burger King|221|g||623.22|kcal|35.36|g|35.05|g|13.54|g|2.87|g|38.87|g|90.61|mg|1180.14|mg
BK Big Fish, Burger King|189|g||515.97|kcal|20.79|g|27.23|g|6.26|g|2.7|g|46.36|g|43.47|mg|708.75|mg
Baby corn, raw|145|g|Young, immature ear|42.05|kcal|3.33|g|0.29|g|0.04|g|3.92|g|8.7|g||||
Bacon and cheese tako ball|90|g|Japanese Bacon & Cheese Ball|134.1|kcal|7.29|g|3.33|g|1.35|g|1.35|g|18.81|g|25.2|mg|380.7|mg
Bacon, cooked, baked|8.1|g||44.39|kcal|2.89|g|3.5|g|1.15|g|||0.11|g|8.67|mg|177.63|mg
Bacon, cooked, pan-fried|7.9|g||42.11|kcal|3.03|g|3.18|g|1.05|g|||0.12|g|8.93|mg|191.81|mg
Bacon, raw|21|g||96.18|kcal|2.44|g|9.46|g|3.15|g|||0.14|g|14.28|mg|174.93|mg
Bagel, plain|120|g|Diameter of: small=6.35 cm; medium= 8.9 cm; large=11.4 cm; whole= 7.6 cm|330|kcal|12.6|g|1.92|g|0.26|g|2.76|g|64.08|g|||640.8|mg
Bak kua, beef|54|g|Beef meat, sliced, dried, barbequed|178.74|kcal|15.44|g|3.19|g|1.4|g|||22.09|g|38.34|mg|481.68|mg
Bak kua, chicken|45|g|Grilled minced chicken meat|175.05|kcal|10.89|g|6.35|g|2.47|g|0.95|g|18.5|g|14.4|mg|404.55|mg
Bak kua, pork with lean and fat|75|g|Pork meat, sliced, dried, barbequed|300.75|kcal|20.02|g|10.27|g|4.13|g|||32.03|g|44.25|mg|732|mg
Bak kua, pork, lean|94|g|chizipan|370.36|kcal|36.1|g|4.04|g|1.75|g|1.69|g|47.28|g|8.46|mg|846.94|mg
Bak kua, vegetarian|74|g|BBQ vegetarian Protein|247.16|kcal|13.1|g|8.21|g|2.81|g|3.85|g|30.27|g|||885.78|mg
Bak kut teh|458|g|Soup made with pork ribs, garlic, and five spices|323.71|kcal|28.11|g|23.43|g|9.37|g|||||153.34|mg|1316.15|mg
Bak kut teh, soup only|417|g||50.04|kcal|2.09|g|0.42|g|0.08|g|||9.59|g|33.36|mg|3807.21|mg
Baked Chicken Rice|444|g|Rice, chicken, cheese, capsicum, egg, diced mushroom and diced carrot|794.76|kcal|42.62|g|34.9|g|18.51|g|2.66|g|77.26|g|||1349.76|mg
Baked Fish Rice|450|g|Rice, fish, diced mushroom, cheese, egg, diced carrot and mushroom|729|kcal|34.2|g|33.71|g|19.21|g|6.75|g|72.45|g|||1399.5|mg
Baked durian mooncake|25|g|Mooncake, durian, plain, baked|102.35|kcal|1.28|g|5.28|g|2.03|g|0.68|g|12.44|g|0.75|mg|46.38|mg
Baked kueh lapis|50|g|Kuih lapis, baked|237.3|kcal|4|g|16.9|g|10.45|g|0.6|g|17.3|g|112|mg|159.5|mg
Baked lotus paste mooncake|25|g|Mooncake, lotus seed paste, plain, baked|95.28|kcal|1.39|g|4.33|g|1.09|g|0.67|g|12.69|g|1.48|mg|29.18|mg
Baked otah bun|67|g|Bun, otak, baked|190.28|kcal|7.1|g|5.49|g|3.75|g|1.34|g|28.14|g|26.8|mg|263.98|mg
Baking powder, double-acting|4.6|g||2.44|kcal|||||||0.01|g|1.26|g|||487.6|mg
Baking soda|4.6|g||||||||||||||||1258.56|mg
Bakwan kepiting|497|g|Soup with minced pork meat ball, deep fried, bamboo shoots, nonya style|141.15|kcal|14.91|g|8.85|g|3.33|g|1.19|g|0.5|g|33.8|mg|1511.38|mg
Bamboo shoot, in coconut milk, stewed (Malay)|187.1|g|Rebung marah lemak|108.52|kcal|3.93|g|8.98|g|7.71|g|2.75|g|2.88|g|10.14|mg|631.46|mg
Bamboo shoots, braised, canned, drained|5.8|g||3.77|kcal|0.09|g|0.25|g|0.01|g|0.12|g|0.28|g|||44.78|mg
Bamboo shoots, pickled|144|g||60.48|kcal|3.02|g|||||2.88|g|12.24|g|||938.88|mg
Bamboo shoots, raw|81|g||7.26|kcal|0.5|g|0.14|g|||0.18|g|1|g|||4.31|mg
Ban mian soup|528|g|Ban mian, soup|475.2|kcal|21.65|g|21.65|g|8.45|g|3.17|g|48.05|g|232.32|mg|2196.48|mg
Ban mian, noodles only|334|g|Ban mian, noodles only|283.9|kcal|9.35|g|2.67|g|0.57|g|3.34|g|55.78|g|6.68|mg|604.54|mg
Banana (pisang mas)|50|g||38.12|kcal|0.54|g|0.12|g|0.04|g|1|g|8.82|g|||3.85|mg
Banana (pisang nangka)|122|g||93|kcal|1.08|g|0.15|g|0.05|g|2|g|21.91|g|||16.91|mg
Banana (pisang rajah udang / merah)|185|g||110.56|kcal|1.2|g|0.4|g|0.13|g|3.46|g|25.71|g|||2.66|mg
Banana (pisang rastali)|43|g||31.05|kcal|0.52|g|0.07|g|0.02|g|0.85|g|7.12|g|||9.8|mg
Banana (pisang tanduk)|352|g||348.9|kcal|3.55|g|1.18|g|0.41|g|7.69|g|81.61|g|||53.22|mg
Banana cake|90|g|Cake, banana|291.6|kcal|5.04|g|15.66|g|6.44|g|1.17|g|32.58|g|64.8|mg|128.7|mg
Banana chips|50|g||255.85|kcal|1.28|g|15.41|g|7.44|g|2.15|g|28.02|g|||107.95|mg
Banana flower|34|g||9.52|kcal|0.48|g|0.07|g|0.01|g|0.27|g|1.5|g|||20.13|mg
Banana fritter|65|g|Pisang goreng|196.95|kcal|1.43|g|5.33|g|3.45|g|2.28|g|35.88|g|||103.35|mg
Banana, raw, unspecified type|118|g||67.21|kcal|0.83|g|0.25|g|0.08|g|1.96|g|17.22|g|||0.76|mg
Bandung|250|g||157.5|kcal|1|g|2.5|g|1.75|g|||33|g|5|mg|17.5|mg
Barbecued chicken wings|98|g|Barbecued chicken wings with meat and skin, commercially produced|154.23|kcal|14.89|g|10.58|g|2.99|g|||||80.11|mg|325.2|mg
Barbecued spare ribs|27.82|g|Barbequed spare ribs, lean and fat|73.08|kcal|4.2|g|5.86|g|2.41|g|||0.92|g|16.89|mg|100.8|mg
Barbecued spring chicken|315|g|BBQ spring chicken with meat and skin, commercial.|547.28|kcal|51.28|g|37.94|g|11.27|g|||||335.73|mg|1076.17|mg
Barfi|50|g|Indian gram flour fudge; barfee|270.5|kcal|2.55|g|16.7|g|5.74|g|0.75|g|27.5|g|||6|mg
Barilla Arrabbiata Sauce|15|g||9.3|kcal|0.22|g|0.53|g|0.06|g|0.3|g|0.9|g|||60|mg
Barilla Napoletana Sauce|15|g||10.65|kcal|0.22|g|0.56|g|0.08|g|0.22|g|1.07|g|||60|mg
Barley water|237|g||54.51|kcal|||||||||13.98|g|||2.37|mg
Barley, pearl, raw|14|g||46.9|kcal|1.29|g|0.18|g|0.03|g|1.6|g|10.04|g|||0.28|mg
Basan cake|55|g|Baked sugary cake in heart shape|296.45|kcal|2.09|g|18.37|g|9.77|g|0.94|g|30.8|g|7.15|mg|3.3|mg
Base, beef flavour, natural|1|g||2.32|kcal|0.06|g|0.09|g|0.03|g|0|g|0.31|g|0.36|mg|116.5|mg
Base, chicken flavour, natural|1|g||2.04|kcal|0.06|g|0.07|g|0.02|g|0|g|0.29|g|0.37|mg|109.25|mg
Base, shrimp flavour, natural|1|g||2.12|kcal|0.12|g|0.02|g|0|g|0|g|0.36|g|0.09|mg|90.35|mg
Basil Crayfish Pasta, Pizzahut|360|g||482.4|kcal|25.2|g|14.04|g|2.92|g|8.28|g|65.52|g|36.72|mg|1710|mg
Basil, dry|1.4|g||3.51|kcal|0.2|g|0.06|g|0|g|0.25|g|0.6|g|||0.48|mg
Basil, fresh|2.6|g||1.04|kcal|0.08|g|0.02|g|0|g|0.14|g|0.13|g|||0.23|mg
Bass, sharptooth, raw|215|g||95.95|kcal|20.85|g|1.34|g|||||||||54.7|mg
Batang, raw|116|g|Raw batang fish|110.72|kcal|20.03|g|3.47|g|1.7|g|||||26.96|mg|95.32|mg
Bathusa|56|g|Wheat flour fried in vegetable oil with sugary coating|284.48|kcal|2.52|g|16.58|g|7.6|g|0.56|g|31.3|g|||19.6|mg
Batter mix, dry|1|g||3.58|kcal|0.08|g|0.02|g|||0.02|g|0.8|g|||3.31|mg
Baulu cermai|6|g|Made of wheat flour, sugar, eggs, cooked with charcoal fire|22.8|kcal|0.56|g|0.29|g|0|g|0.07|g|4.48|g|0|mg|4.8|mg
Bay leaf, raw|1.8|g||5.63|kcal|0.14|g|0.15|g|0.04|g|0.47|g|0.88|g|||0.41|mg
Bean paste, fermented, with chilli|18|g||33.13|kcal|1.42|g|1.06|g|0.11|g|0.4|g|4.46|g|||396.18|mg
Bean sprouts, raw|62.67|g|Dou ya cai; taugeh; tau nga choi|12.6|kcal|1.69|g|0.06|g|||1|g|0.88|g|||0.63|mg
Bean, broad, boiled|170|g|Fava bean|100.45|kcal|12.58|g|0.85|g|||12.92|g|4.08|g|||5.1|mg
Bean, broad, raw|8|g|Fava bean|4.27|kcal|0.54|g|0.04|g|||0.55|g|0.17|g|||0.31|mg
Beancurd Dessert with Red Bean Toppings|392|g|Beancurd and red beans|164.64|kcal|9.8|g|5.25|g|2.63|g|7.45|g|19.6|g|||50.18|mg
Beancurd, preserved|229|g||336.63|kcal|28.63|g|18.55|g|2.91|g|||13.74|g|||4831.9|mg
Beancurd, red, preserved|7.56|g||11.42|kcal|0.91|g|0.61|g|0.1|g|0.05|g|0.57|g|||233.68|mg
Beans broad, coated with satay powder, deep fried|121|g|Satay broad beans|472.63|kcal|22.84|g|24.41|g|10.26|g|11.28|g|40.39|g|4.48|mg|1130.87|mg
Beans, baked, canned, plain or vegetarian|254|g||238.76|kcal|12.07|g|0.94|g|0.18|g|10.41|g|43.28|g|||871.22|mg
Beans, black, fermented|16|g||39.04|kcal|3.86|g|||||0.94|g|5.89|g|||42.24|mg
Beans, black, mature seeds, cooked, boiled, without salt|172|g|Hei dou, Urad, Black Bean|227.04|kcal|15.24|g|0.93|g|0.24|g|14.96|g|40.78|g|||1.72|mg
Beans, four angled, raw|62|g||17.92|kcal|1.49|g|0.12|g|0|g|1.25|g|2.74|g|||1.79|mg
Beans, french, raw|82|g|Si ji dou; kacang buncis; kacang pendek; bunchi kai; or-kui-tau|22.74|kcal|1.87|g|0.16|g|||2.41|g|2.1|g|||1.56|mg
