food_name|serving_size|serving_size_unit|description|energy|energy_unit|protein|protein_unit|total_fat|total_fat_unit|saturated_fat|saturated_fat_unit|dietary_fibre|dietary_fibre_unit|carbohydrate|carbohydrate_unit|cholesterol|cholesterol_unit|sodium|sodium_unit
Pizza bun|89|g|Bun made of pizza toppings, ham, onion and tomato paste.|212.35|kcal|8.68|g|8.5|g|4.17|g|2.36|g|25.28|g|22.96|mg|460.22|mg
Pizza, ham and pineapple, frozen, baked|200|g|Commercially produced pizza dough topped with tomato-based sauce, cheese, ham and pineapple, frozen before packaging and reheated prior to consumption.|526.8|kcal|26.6|g|22.4|g|10.2|g|5.2|g|51.8|g|34|mg|1438|mg
Pizza, pan, cheese, Pizza Hut|100|g||223|kcal|12.19|g|5.1|g|2.44|g|1.85|g|32.54|g|15|mg|533|mg
Pizza, pan, pepperoni, Pizza Hut|95|g||271.7|kcal|11.59|g|11.59|g|4.37|g|2.95|g|30.02|g|19|mg|620.35|mg
Pizza, pan, supreme, Pizza Hut|130|g||297.28|kcal|14.34|g|14.34|g|5.73|g|2.87|g|26.78|g|||730.29|mg
Pizza, pepperoni topping, regular crust|108|g||298.08|kcal|13.32|g|12.13|g|5.26|g|1.62|g|32.4|g|29.16|mg|682.56|mg
Pizza, personal pan, supreme, Pizza Hut|270|g||623.7|kcal|27|g|33.48|g|13.12|g|4.94|g|53.73|g|59.4|mg|1236.6|mg
Pizza, thin n crispy, cheese, Pizza Hut|75|g||213|kcal|12.15|g|9.15|g|4.57|g|2.03|g|21.3|g|20.25|mg|537|mg
Pizza, thin n crispy, pepperoni, Pizza Hut|75|g||249.75|kcal|11.4|g|10.2|g|4.57|g|||24.98|g|22.5|mg|693|mg
Pizza, thin n crispy, super supreme, Pizza Hut|100|g||246|kcal|13.2|g|11.4|g|4.4|g|3.5|g|22.8|g|26|mg|711|mg
Pizza, thin n crispy, supreme, Pizza Hut|100|g||246|kcal|13.2|g|11.4|g|4.4|g|3.5|g|22.8|g|26|mg|711|mg
Pizza, tomato and cheese|58|g||157.18|kcal|3.25|g|3.25|g|1.16|g|2.2|g|30.74|g|6.38|mg|571.88|mg
Plain Pesto Pasta|314|g|Pasta, mushroom, cheese|580.9|kcal|18.84|g|32.97|g|10.36|g|3.77|g|51.81|g|||1033.06|mg
Plain aglio aglio|266|g|Pasta, bits of mushrooms & carrots|340.48|kcal|13.3|g|10.4|g|1.76|g|3.99|g|48.68|g|||798|mg
Plain crackers|28|g|May be slightly salted|127.12|kcal|2.66|g|4.79|g|2.47|g|0.48|g|18.37|g|||150.36|mg
Plain porridge|256|g|Cooked plain porridge with brown rice|76.8|kcal|3.07|g|0.51|g|0.1|g|0.77|g|14.85|g|||10.24|mg
Plain roti prata|60|g|Thick, flat, round dough made with wheat flour, sugar, salt and water, fried with ghee|162.6|kcal|5.1|g|7.14|g|3.38|g|1.32|g|19.5|g|||260.4|mg
Plain waffle|95|g|Waffle, plain|352.45|kcal|6.37|g|15.11|g|5.93|g|1.71|g|47.88|g|31.54|mg|120.65|mg
Plum|48.3|g||10.66|kcal|0.23|g|0.03|g|||||2.33|g|||0.67|mg
Plum, preserved, salted|248|g||180.54|kcal|1.91|g|1.39|g|||1.74|g|45.14|g||||
Plum, red flesh, raw|74|g||26.32|kcal|0.43|g|0.07|g|||1.21|g|5.33|g|||1.42|mg
Plum, yellow flesh, raw|49|g||14.28|kcal|0.24|g|0.05|g|||0.8|g|2.87|g|||0.47|mg
Plums, dried (prunes), uncooked|10.9|g||22.76|kcal|0.21|g|0.04|g|0.01|g|0.67|g|6.06|g|||0.19|mg
Poke bowl, salmon|438|g|Rice, salmon, avocado paste, pipeapple, vegetables|604.44|kcal|26.28|g|35.39|g|5.56|g|6.13|g|44.68|g|||1248.3|mg
Poke bowl, tuna|405|g|Rice, tuna, avocado paste, pineapple, vegetable|498.15|kcal|29.97|g|19.97|g|3.56|g|7.29|g|49.82|g|||1202.85|mg
Pomegranate, raw, flesh and seeds, peeled|120|g|Round shaped fruit, with hard, thick red skin, which is divided into large membrane segments containing bright red juicy seeds.|53.84|kcal|1.3|g|0.14|g|||4.38|g|9.23|g|||2.74|mg
Pomelo, raw, flesh only|39|g||11.06|kcal|0.22|g|0.05|g|||0.11|g|2.45|g|||0.81|mg
Pomfret tandoori|163|g|Grilled pomfret, pre-marinated in yoghut and fresh cream|242.87|kcal|34.72|g|10.6|g|3.99|g|1.47|g|2.12|g|39.12|mg|339.04|mg
Pomfret, with coconut, steamed, Malay style|163.47|g||135.35|kcal|6.62|g|9.42|g|4.53|g|2.43|g|6.25|g|23.54|mg|891.86|mg
Pomodoro|408|g|Pasta, sauce, chicken, tomato and mushroom|387.6|kcal|16.73|g|7.92|g|1.51|g|10.2|g|62.42|g|||1036.32|mg
Pong piah|32|g|Pon pian cookie|131.2|kcal|2.02|g|5.06|g|2.37|g|0.58|g|19.39|g|2.56|mg|143.36|mg
Ponyfish, cammon, raw|43.2|g||16.63|kcal|4.17|g|||||||||||21.38|mg
Pop corn, buttered|30|g|Corn kernels heated in oil and/or butter until cooked.|141.17|kcal|2.73|g|7.32|g|4.56|g|2.55|g|14.88|g|1.8|mg|294|mg
Pop corn, durian flavoured|30|g||114|kcal|2.07|g|0.24|g|0.16|g|2.55|g|25.92|g|||84.6|mg
Popcorn, caramel|140|g|Caramel popcorn|638.54|kcal|5.08|g|30.09|g|17.68|g|5.98|g|86.86|g|5.32|mg|338.38|mg
Popcorn, regular, commercial|8|g|Corn kernels heated in oil and/or butter until cooked|37.6|kcal|0.73|g|1.95|g|1.22|g|0.68|g|3.97|g|0.48|mg|78.4|mg
Popcorn, unpopped|1|g||3.62|kcal|0.12|g|0.05|g|0|g|0.14|g|0.58|g|||0.03|mg
Popiah|139.89|g|Spring roll, Nonya style, Popiah|187.57|kcal|7.55|g|11.19|g|3.64|g|4.06|g|14.27|g|44.76|mg|675.67|mg
Popiah circular shape, skin only|8|g|Plain and thin flour sheet, shaped in circular shape.|25.2|kcal|0.59|g|0.11|g|0.04|g|0.11|g|5.45|g|||36.72|mg
Popiah skin|8|g|Plain and thin flour sheet, shaped in circular shape.|25.2|kcal|0.59|g|0.11|g|0.04|g|0.11|g|5.45|g|||36.72|mg
Pork Chop Baked Rice|440|g|Rice, pork, cheese, mushroom, corn and raisin|653.49|kcal|36.81|g|21.76|g|11.87|g|8.27|g|77.34|g|||1476.55|mg
Pork Katsu Curry Rice|529|g|Rice, pork katsu, vegetables, pickles and sauce|978.65|kcal|36.5|g|40.52|g|17.19|g|30.15|g|117.44|g|||1872.66|mg
Pork and chives dumpling|26|g||82.03|kcal|2.47|g|5.19|g|1.95|g|0.34|g|6.35|g|9.9|mg|99.23|mg
Pork ball, raw|190|g|Zhu rou wan|361|kcal|24.89|g|19.95|g|8.13|g|3.8|g|20.14|g|49.4|mg|1540.9|mg
Pork ball, with sea cucumber, in oyster sauce, stir fried|52|g|Ground pork with sea cucumber and oyster sauce, stir fried|58.66|kcal|6.11|g|3.13|g|1.06|g|0.49|g|1.51|g|9.86|mg|237.8|mg
Pork ball. raw|190|g|Zhu rou wan|361|kcal|24.89|g|19.95|g|8.13|g|3.8|g|20.14|g|49.4|mg|1540.9|mg
Pork banh mi|208|g|Vietnamese pork baguette sandwich|436.8|kcal|24.13|g|22.11|g|7.24|g|2.29|g|35.36|g|||867.36|mg
Pork chop with spaghetti|406|g|Spaghetti, pork chop, tomato paste|458.78|kcal|34.1|g|17.86|g|7.31|g|3.65|g|39.79|g|||1267.13|mg
Pork chop, stewed, canned|373|g|Canned stewed pork chop|671.81|kcal|41.79|g|52.01|g|18.23|g|1.86|g|9.6|g|133.12|mg|3845.11|mg
Pork floss|78|g|Bun with pork floss topping|336.96|kcal|9.98|g|19.11|g|3.67|g|1.33|g|31.36|g|37.44|mg|1150.5|mg
Pork katsu curry omurice|611|g|Rice, egg, pork katsu, pickles, curry sauce|1148.68|kcal|50.1|g|70.14|g|30.31|g|4.28|g|78.82|g|||2181.27|mg
Pork katsu don|599|g|Rice, pork katsu, egg|910.48|kcal|44.33|g|35.82|g|14.74|g|3.59|g|103.03|g|||1533.44|mg
Pork liver, boiled|4.4|g||7.26|kcal|1.14|g|0.19|g|0.06|g|||0.17|g|15.62|mg|2.16|mg
Pork porridge|524|g|Porridge,made with rice, minced pork, pork liver and intestine,garnished with spring onion and fried fritter|319.64|kcal|15.72|g|9.96|g|5.29|g|3.14|g|41.92|g|89.08|mg|738.84|mg
Pork ribs soup, with radish and carrot|352.58|g|Pork ribs with radish and carrot soup, made from scalded pork ribs, white radish and carrots, seasoned with pepper|159.08|kcal|18.82|g|8.67|g|3.49|g|1.08|g|1.49|g|35.34|mg|354.72|mg
