ingredient_id,ingredient_name,serving_size,serving_size_unit,10:0,10:0_unit,12:0,12:0_unit,14:0,14:0_unit,16:0,16:0_unit,16:1,16:1_unit,18:0,18:0_unit,18:1,18:1_unit,18:2,18:2_unit,18:3,18:3_unit,18:4,18:4_unit,20:1,20:1_unit,20:4,20:4_unit,20:5_n-3,20:5_n-3_unit,22:1,22:1_unit,22:5_n-3,22:5_n-3_unit,22:6_n-3,22:6_n-3_unit,4:0,4:0_unit,6:0,6:0_unit,8:0,8:0_unit,alcohol,alcohol_unit,caffeine,caffeine_unit,calcium,calcium_unit,carbohydrate,carbohydrate_unit,carotene_alpha,carotene_alpha_unit,carotene_beta,carotene_beta_unit,cholesterol,cholesterol_unit,choline_total,choline_total_unit,copper,copper_unit,cryptoxanthin_beta,cryptoxanthin_beta_unit,energy,energy_unit,fatty_acids_total_monounsaturated,fatty_acids_total_monounsaturated_unit,fatty_acids_total_polyunsaturated,fatty_acids_total_polyunsaturated_unit,fatty_acids_total_saturated,fatty_acids_total_saturated_unit,fiber_total_dietary,fiber_total_dietary_unit,folate_dfe,folate_dfe_unit,folate_food,folate_food_unit,folate_total,folate_total_unit,folic_acid,folic_acid_unit,iron,iron_unit,lutein+zeaxanthin,lutein+zeaxanthin_unit,lycopene,lycopene_unit,magnesium,magnesium_unit,niacin,niacin_unit,phosphorus,phosphorus_unit,potassium,potassium_unit,protein,protein_unit,retinol,retinol_unit,riboflavin,riboflavin_unit,selenium,selenium_unit,sodium,sodium_unit,sugars_total,sugars_total_unit,theobromine,theobromine_unit,thiamin,thiamin_unit,total_fat,total_fat_unit,vitamin_a_rae,vitamin_a_rae_unit,vitamin_b-12,vitamin_b-12_unit,vitamin_b-12_added,vitamin_b-12_added_unit,vitamin_b-6,vitamin_b-6_unit,vitamin_c,vitamin_c_unit,vitamin_d_(d2+d3),vitamin_d_(d2+d3)_unit,vitamin_e_(alpha-tocopherol),vitamin_e_(alpha-tocopherol)_unit,vitamin_e_added,vitamin_e_added_unit,vitamin_k_(phylloquinone),vitamin_k_(phylloquinone)_unit,water,water_unit,zinc,zinc_unit
1,"Butter, salted",100,g,2.529,g,2.587,g,7.436,g,21.697,g,0.961,g,9.999,g,19.961,g,2.728,g,0.315,g,0,g,0.1,g,0,g,0,g,0,g,0,g,0,g,3.226,g,2.007,g,1.19,g,0,g,0,mg,24,mg,0.06,g,0,mcg,158,mcg,215,mg,18.8,mg,0,mg,0,mcg,717,kcal,21.021,g,3.043,g,51.368,g,0,g,3,mcg_DFE,3,mcg,3,mcg,0,mcg,0.02,mg,0,mcg,0,mcg,2,mg,0.042,mg,24,mg,24,mg,0.85,g,671,mcg,0.034,mg,1,mcg,643,mg,0.06,g,0,mg,0.005,mg,81.11,g,684,mcg_RAE,0.17,mcg,0,mcg,0.003,mg,0,mg,0,mcg,2.32,mg,0,mg,7,mcg,16.17,g,0.09,mg
2,"Butter, whipped, with salt",100,g,2.039,g,2.354,g,7.515,g,20.531,g,1.417,g,7.649,g,17.37,g,2.713,g,0.298,g,0.003,g,0.147,g,0.119,g,0.022,g,0.005,g,0.045,g,0.003,g,1.635,g,1.373,g,0.858,g,0,g,0,mg,23,mg,0,g,1,mcg,135,mcg,225,mg,18.8,mg,0.01,mg,6,mcg,731,kcal,19.874,g,3.331,g,45.39,g,0,g,4,mcg_DFE,4,mcg,4,mcg,0,mcg,0.05,mg,13,mcg,0,mcg,1,mg,0.022,mg,24,mg,41,mg,0.49,g,671,mcg,0.064,mg,0,mcg,583,mg,0.06,g,0,mg,0.007,mg,78.3,g,683,mcg_RAE,0.07,mcg,0,mcg,0.008,mg,0,mg,0,mcg,1.37,mg,0,mg,4.6,mcg,16.72,g,0.05,mg
3,"Butter oil, anhydrous",100,g,2.495,g,2.793,g,10.005,g,26.166,g,2.228,g,12.056,g,25.026,g,2.247,g,1.447,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,3.226,g,1.91,g,1.112,g,0,g,0,mg,4,mg,0,g,0,mcg,193,mcg,256,mg,22.3,mg,0.001,mg,0,mcg,876,kcal,28.732,g,3.694,g,61.924,g,0,g,0,mcg_DFE,0,mcg,0,mcg,0,mcg,0,mg,0,mcg,0,mcg,0,mg,0.003,mg,3,mg,5,mg,0.28,g,824,mcg,0.005,mg,0,mcg,2,mg,0,g,0,mg,0.001,mg,99.48,g,840,mcg_RAE,0.01,mcg,0,mcg,0.001,mg,0,mg,0,mcg,2.8,mg,0,mg,8.6,mcg,0.24,g,0.01,mg
4,"Cheese, blue",100,g,0.601,g,0.491,g,3.301,g,9.153,g,0.816,g,3.235,g,6.622,g,0.536,g,0.264,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0.658,g,0.361,g,0.247,g,0,g,0,mg,528,mg,2.34,g,0,mcg,74,mcg,75,mg,15.4,mg,0.04,mg,0,mcg,353,kcal,7.778,g,0.8,g,18.669,g,0,g,36,mcg_DFE,36,mcg,36,mcg,0,mcg,0.31,mg,0,mcg,0,mcg,23,mg,1.016,mg,387,mg,256,mg,21.4,g,192,mcg,0.382,mg,14.5,mcg,1146,mg,0.5,g,0,mg,0.029,mg,28.74,g,198,mcg_RAE,1.22,mcg,0,mcg,0.166,mg,0,mg,0.5,mcg,0.25,mg,0,mg,2.4,mcg,42.41,g,2.66,mg
5,"Cheese, brick",100,g,0.585,g,0.482,g,3.227,g,8.655,g,0.817,g,3.455,g,7.401,g,0.491,g,0.293,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0.914,g,0.373,g,0.299,g,0,g,0,mg,674,mg,2.79,g,0,mcg,76,mcg,94,mg,15.4,mg,0.024,mg,0,mcg,371,kcal,8.598,g,0.784,g,18.764,g,0,g,20,mcg_DFE,20,mcg,20,mcg,0,mcg,0.43,mg,0,mcg,0,mcg,24,mg,0.118,mg,451,mg,136,mg,23.24,g,286,mcg,0.351,mg,14.5,mcg,560,mg,0.51,g,0,mg,0.014,mg,29.68,g,292,mcg_RAE,1.26,mcg,0,mcg,0.065,mg,0,mg,0.5,mcg,0.26,mg,0,mg,2.5,mcg,41.11,g,2.6,mg
6,"Cheese, brie",100,g,0.673,g,0.504,g,3.065,g,8.246,g,1.007,g,2.88,g,6.563,g,0.513,g,0.313,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0.564,g,0.323,g,0.297,g,0,g,0,mg,184,mg,0.45,g,0,mcg,9,mcg,100,mg,15.4,mg,0.019,mg,0,mcg,334,kcal,8.013,g,0.826,g,17.41,g,0,g,65,mcg_DFE,65,mcg,65,mcg,0,mcg,0.5,mg,0,mcg,0,mcg,20,mg,0.38,mg,188,mg,152,mg,20.75,g,173,mcg,0.52,mg,14.5,mcg,629,mg,0.45,g,0,mg,0.07,mg,27.68,g,174,mcg_RAE,1.65,mcg,0,mcg,0.235,mg,0,mg,0.5,mcg,0.24,mg,0,mg,2.3,mcg,48.42,g,2.38,mg
7,"Cheese, camembert",100,g,0.59,g,0.442,g,2.686,g,7.227,g,0.883,g,2.524,g,5.752,g,0.45,g,0.274,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0.494,g,0.283,g,0.26,g,0,g,0,mg,388,mg,0.46,g,0,mcg,12,mcg,72,mg,15.4,mg,0.021,mg,0,mcg,300,kcal,7.023,g,0.724,g,15.259,g,0,g,62,mcg_DFE,62,mcg,62,mcg,0,mcg,0.33,mg,0,mcg,0,mcg,20,mg,0.63,mg,347,mg,187,mg,19.8,g,240,mcg,0.488,mg,14.5,mcg,842,mg,0.46,g,0,mg,0.028,mg,24.26,g,241,mcg_RAE,1.3,mcg,0,mcg,0.227,mg,0,mg,0.4,mcg,0.21,mg,0,mg,2,mcg,51.8,g,2.38,mg
8,"Cheese, cheddar (Includes foods for USDA's Food Distribution Program)",100,g,0.843,g,0.963,g,3.1,g,8.79,g,0.516,g,3.39,g,7.41,g,1.16,g,0.121,g,0.001,g,0.064,g,0.051,g,0.01,g,0.001,g,0.018,g,0.001,g,0.653,g,0.543,g,0.349,g,0,g,0,mg,707,mg,2.44,g,0,mcg,0,mcg,100,mg,16.5,mg,0.033,mg,0,mcg,408,kcal,7.44,g,1.18,g,19.2,g,0,g,21,mcg_DFE,21,mcg,21,mcg,0,mcg,0.16,mg,0,mcg,0,mcg,26.8,mg,0.052,mg,458,mg,77,mg,23.3,g,316,mcg,0.441,mg,28.3,mcg,654,mg,0.33,g,0,mg,0.029,mg,34,g,316,mcg_RAE,1.06,mcg,0,mcg,0.069,mg,0,mg,0.6,mcg,0.75,mg,0,mg,2.4,mcg,36.6,g,3.67,mg
9,"Cheese, colby",100,g,0.597,g,0.422,g,3.831,g,8.232,g,0.979,g,3.63,g,7.813,g,0.676,g,0.277,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,1.041,g,0.259,g,0.324,g,0,g,0,mg,685,mg,2.57,g,0,mcg,82,mcg,95,mg,15.4,mg,0.042,mg,0,mcg,394,kcal,9.28,g,0.953,g,20.218,g,0,g,18,mcg_DFE,18,mcg,18,mcg,0,mcg,0.76,mg,0,mcg,0,mcg,26,mg,0.093,mg,457,mg,127,mg,23.76,g,257,mcg,0.375,mg,14.5,mcg,604,mg,0.52,g,0,mg,0.015,mg,32.11,g,264,mcg_RAE,0.83,mcg,0,mcg,0.079,mg,0,mg,0.6,mcg,0.28,mg,0,mg,2.7,mcg,38.2,g,3.07,mg
10,"Cheese, cottage, creamed, large or small curd",100,g,0.064,g,0.07,g,0.263,g,0.778,g,0.047,g,0.345,g,0.714,g,0.105,g,0.017,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0.109,g,0.025,g,0.023,g,0,g,0,mg,83,mg,3.38,g,0,mcg,12,mcg,17,mg,18.4,mg,0.029,mg,0,mcg,98,kcal,0.778,g,0.123,g,1.718,g,0,g,12,mcg_DFE,12,mcg,12,mcg,0,mcg,0.07,mg,0,mcg,0,mcg,8,mg,0.099,mg,159,mg,104,mg,11.12,g,36,mcg,0.163,mg,9.7,mcg,315,mg,2.67,g,0,mg,0.027,mg,4.3,g,37,mcg_RAE,0.43,mcg,0,mcg,0.046,mg,0,mg,0.1,mcg,0.08,mg,0,mg,0,mcg,79.79,g,0.4,mg
11,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",100,g,0.009,g,0.006,g,0.02,g,0.07,g,0.012,g,0.05,g,0.067,g,0.003,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0.007,g,0.002,g,0.005,g,0,g,0,mg,86,mg,6.66,g,0,mcg,0,mcg,7,mg,17.9,mg,0.03,mg,0,mcg,72,kcal,0.079,g,0.003,g,0.169,g,0,g,9,mcg_DFE,9,mcg,9,mcg,0,mcg,0.15,mg,0,mcg,0,mcg,11,mg,0.144,mg,190,mg,137,mg,10.34,g,2,mcg,0.226,mg,9.4,mcg,372,mg,1.85,g,0,mg,0.023,mg,0.29,g,2,mcg_RAE,0.46,mcg,0,mcg,0.016,mg,0,mg,0,mcg,0.01,mg,0,mg,0,mcg,81.01,g,0.47,mg
12,"Cheese, cottage, lowfat, 2% milkfat",100,g,0.061,g,0.062,g,0.201,g,0.568,g,0.029,g,0.228,g,0.47,g,0.071,g,0.007,g,0,g,0.003,g,0.003,g,0.001,g,0,g,0.001,g,0,g,0.04,g,0.035,g,0.026,g,0,g,0,mg,103,mg,4.31,g,0,mcg,0,mcg,12,mg,16.3,mg,0.03,mg,0,mcg,84,kcal,0.469,g,0.072,g,1.26,g,0,g,10,mcg_DFE,10,mcg,10,mcg,0,mcg,0.13,mg,0,mcg,0,mcg,8.9,mg,0.09,mg,148,mg,120,mg,11,g,69,mcg,0.234,mg,14.6,mcg,321,mg,4.1,g,0,mg,0.02,mg,2.3,g,69,mcg_RAE,0.42,mcg,0,mcg,0.057,mg,0,mg,0,mcg,0.08,mg,0,mg,0,mcg,81.1,g,0.61,mg
13,"Cheese, cottage, lowfat, 1% milkfat",100,g,0.019,g,0.016,g,0.107,g,0.308,g,0.036,g,0.116,g,0.239,g,0.022,g,0.009,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0.033,g,0.007,g,0.008,g,0,g,0,mg,61,mg,2.72,g,0,mcg,3,mcg,4,mg,17.5,mg,0.028,mg,0,mcg,72,kcal,0.291,g,0.031,g,0.645,g,0,g,12,mcg_DFE,12,mcg,12,mcg,0,mcg,0.14,mg,0,mcg,0,mcg,5,mg,0.128,mg,134,mg,86,mg,12.39,g,11,mcg,0.165,mg,9,mcg,406,mg,2.72,g,0,mg,0.021,mg,1.02,g,11,mcg_RAE,0.63,mcg,0,mcg,0.068,mg,0,mg,0,mcg,0.01,mg,0,mg,0.1,mcg,82.48,g,0.38,mg
14,"Cheese, cream",100,g,0.868,g,1.004,g,3.275,g,9.405,g,0.651,g,3.365,g,7.776,g,1.212,g,0.131,g,0.001,g,0.064,g,0.053,g,0.01,g,0.002,g,0.02,g,0,g,0.718,g,0.592,g,0.366,g,0,g,0,mg,97,mg,5.52,g,1,mcg,59,mcg,101,mg,26.8,mg,0.018,mg,2,mcg,350,kcal,8.907,g,1.483,g,20.213,g,0,g,9,mcg_DFE,9,mcg,9,mcg,0,mcg,0.11,mg,7,mcg,0,mcg,9,mg,0.091,mg,107,mg,132,mg,6.15,g,303,mcg,0.23,mg,8.6,mcg,314,mg,3.76,g,0,mg,0.023,mg,34.44,g,308,mcg_RAE,0.22,mcg,0,mcg,0.056,mg,0,mg,0,mcg,0.86,mg,0,mg,2.1,mcg,52.62,g,0.5,mg
15,"Cheese, feta",100,g,1.822,g,1.068,g,2.545,g,4.748,g,0.385,g,1.371,g,3.975,g,0.326,g,0.265,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0.714,g,0.528,g,0.503,g,0,g,0,mg,493,mg,3.88,g,0,mcg,3,mcg,89,mg,15.4,mg,0.032,mg,0,mcg,265,kcal,4.623,g,0.591,g,13.3,g,0,g,32,mcg_DFE,32,mcg,32,mcg,0,mcg,0.65,mg,0,mcg,0,mcg,19,mg,0.991,mg,337,mg,62,mg,14.21,g,125,mcg,0.844,mg,15,mcg,1139,mg,0,g,0,mg,0.154,mg,21.49,g,125,mcg_RAE,1.69,mcg,0,mcg,0.424,mg,0,mg,0.4,mcg,0.18,mg,0,mg,1.8,mcg,55.22,g,2.88,mg
16,"Cheese, fontina",100,g,0.651,g,0.804,g,2.964,g,8.458,g,0.89,g,2.655,g,7.1,g,0.864,g,0.79,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0.715,g,0.489,g,0.314,g,0,g,0,mg,550,mg,1.55,g,0,mcg,32,mcg,116,mg,15.4,mg,0.025,mg,0,mcg,389,kcal,8.687,g,1.654,g,19.196,g,0,g,6,mcg_DFE,6,mcg,6,mcg,0,mcg,0.23,mg,0,mcg,0,mcg,14,mg,0.15,mg,346,mg,64,mg,25.6,g,258,mcg,0.204,mg,14.5,mcg,800,mg,1.55,g,0,mg,0.021,mg,31.14,g,261,mcg_RAE,1.68,mcg,0,mcg,0.083,mg,0,mg,0.6,mcg,0.27,mg,0,mg,2.6,mcg,37.92,g,3.5,mg
17,"Cheese, gouda",100,g,0.918,g,1.211,g,3.04,g,6.851,g,0.889,g,2.918,g,6.388,g,0.263,g,0.394,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0.999,g,0.64,g,0.427,g,0,g,0,mg,700,mg,2.22,g,0,mcg,10,mcg,114,mg,15.4,mg,0.036,mg,0,mcg,356,kcal,7.747,g,0.657,g,17.614,g,0,g,21,mcg_DFE,21,mcg,21,mcg,0,mcg,0.24,mg,0,mcg,0,mcg,29,mg,0.063,mg,546,mg,121,mg,24.94,g,164,mcg,0.334,mg,14.5,mcg,819,mg,2.22,g,0,mg,0.03,mg,27.44,g,165,mcg_RAE,1.54,mcg,0,mcg,0.08,mg,0,mg,0.5,mcg,0.24,mg,0,mg,2.3,mcg,41.46,g,3.9,mg
18,"Cheese, gruyere",100,g,0.751,g,0.911,g,3.369,g,8.753,g,0.724,g,2.324,g,8.582,g,1.3,g,0.433,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,1.049,g,0.621,g,0.355,g,0,g,0,mg,1011,mg,0.36,g,0,mcg,33,mcg,110,mg,15.4,mg,0.032,mg,0,mcg,413,kcal,10.043,g,1.733,g,18.913,g,0,g,10,mcg_DFE,10,mcg,10,mcg,0,mcg,0.17,mg,0,mcg,0,mcg,36,mg,0.106,mg,605,mg,81,mg,29.81,g,268,mcg,0.279,mg,14.5,mcg,714,mg,0.36,g,0,mg,0.06,mg,32.34,g,271,mcg_RAE,1.6,mcg,0,mcg,0.081,mg,0,mg,0.6,mcg,0.28,mg,0,mg,2.7,mcg,33.19,g,3.9,mg
19,"Cheese, limburger",100,g,0.481,g,0.87,g,2.787,g,7.401,g,1.013,g,3.054,g,7.179,g,0.339,g,0.156,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0.803,g,0.489,g,0.275,g,0,g,0,mg,497,mg,0.49,g,0,mcg,15,mcg,90,mg,15.4,mg,0.021,mg,0,mcg,327,kcal,8.606,g,0.495,g,16.746,g,0,g,58,mcg_DFE,58,mcg,58,mcg,0,mcg,0.13,mg,0,mcg,0,mcg,21,mg,0.158,mg,393,mg,128,mg,20.05,g,339,mcg,0.503,mg,14.5,mcg,800,mg,0.49,g,0,mg,0.08,mg,27.25,g,340,mcg_RAE,1.04,mcg,0,mcg,0.086,mg,0,mg,0.5,mcg,0.23,mg,0,mg,2.3,mcg,48.42,g,2.1,mg
20,"Cheese, monterey",100,g,0.563,g,0.398,g,3.613,g,7.763,g,0.923,g,3.423,g,7.368,g,0.637,g,0.261,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0.982,g,0.244,g,0.306,g,0,g,0,mg,746,mg,0.68,g,0,mcg,78,mcg,89,mg,15.4,mg,0.032,mg,0,mcg,373,kcal,8.751,g,0.899,g,19.066,g,0,g,18,mcg_DFE,18,mcg,18,mcg,0,mcg,0.72,mg,0,mcg,0,mcg,27,mg,0.093,mg,444,mg,81,mg,24.48,g,192,mcg,0.39,mg,14.5,mcg,600,mg,0.5,g,0,mg,0.015,mg,30.28,g,198,mcg_RAE,0.83,mcg,0,mcg,0.079,mg,0,mg,0.6,mcg,0.26,mg,0,mg,2.5,mcg,41.01,g,3,mg
21,"Cheese, mozzarella, low moisture, part-skim",100,g,0.509,g,0.583,g,1.89,g,5.39,g,0.326,g,2.01,g,4.61,g,0.731,g,0.078,g,0,g,0.038,g,0.032,g,0.006,g,0,g,0.012,g,0,g,0.396,g,0.334,g,0.209,g,0,g,0,mg,693,mg,4.44,g,0,mcg,0,mcg,65,mg,13.5,mg,0.035,mg,0,mcg,298,kcal,4.65,g,0.744,g,11.7,g,0,g,26,mcg_DFE,26,mcg,26,mcg,0,mcg,0.2,mg,0,mcg,0,mcg,27.2,mg,0.101,mg,533,mg,116,mg,23.7,g,203,mcg,0.36,mg,26.7,mcg,699,mg,1.81,g,0,mg,0.023,mg,20.4,g,203,mcg_RAE,1.65,mcg,0,mcg,0.09,mg,0,mg,0.4,mcg,0.51,mg,0,mg,1.3,mcg,47.7,g,3.62,mg
22,"Cheese, muenster",100,g,0.586,g,0.367,g,3.072,g,9.218,g,0.973,g,3.569,g,7.338,g,0.431,g,0.23,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,1.042,g,0.243,g,0.275,g,0,g,0,mg,717,mg,1.12,g,0,mcg,13,mcg,96,mg,15.4,mg,0.031,mg,0,mcg,368,kcal,8.711,g,0.661,g,19.113,g,0,g,12,mcg_DFE,12,mcg,12,mcg,0,mcg,0.41,mg,0,mcg,0,mcg,27,mg,0.103,mg,468,mg,134,mg,23.41,g,297,mcg,0.32,mg,14.5,mcg,628,mg,1.12,g,0,mg,0.013,mg,30.04,g,298,mcg_RAE,1.47,mcg,0,mcg,0.056,mg,0,mg,0.6,mcg,0.26,mg,0,mg,2.5,mcg,41.77,g,2.81,mg
23,"Cheese, parmesan, grated",100,g,0.653,g,0.745,g,2.39,g,7.4,g,0.366,g,2.67,g,6.44,g,1.17,g,0.106,g,0,g,0.05,g,0.042,g,0.008,g,0.001,g,0.015,g,0,g,0.508,g,0.435,g,0.274,g,0,g,0,mg,884,mg,12.4,g,0,mcg,0,mcg,87,mg,14.1,mg,0.04,mg,0,mcg,421,kcal,6.4,g,1.2,g,15.5,g,0,g,6,mcg_DFE,6,mcg,6,mcg,0,mcg,0.45,mg,0,mcg,0,mcg,34.9,mg,0.078,mg,634,mg,184,mg,29.6,g,228,mcg,0.345,mg,35,mcg,1750,mg,0.07,g,0,mg,0.027,mg,28,g,228,mcg_RAE,1.35,mcg,0,mcg,0.081,mg,0,mg,0.5,mcg,0.51,mg,0,mg,1.7,mcg,22.8,g,4.33,mg
24,"Cheese, provolone",100,g,0.482,g,0.355,g,2.748,g,8.159,g,0.878,g,3.063,g,6.164,g,0.494,g,0.275,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0.981,g,0.37,g,0.256,g,0,g,0,mg,756,mg,2.14,g,0,mcg,68,mcg,69,mg,15.4,mg,0.026,mg,0,mcg,351,kcal,7.393,g,0.769,g,17.078,g,0,g,10,mcg_DFE,10,mcg,10,mcg,0,mcg,0.52,mg,0,mcg,0,mcg,28,mg,0.156,mg,496,mg,138,mg,25.58,g,230,mcg,0.321,mg,14.5,mcg,727,mg,0.56,g,0,mg,0.019,mg,26.62,g,236,mcg_RAE,1.46,mcg,0,mcg,0.073,mg,0,mg,0.5,mcg,0.23,mg,0,mg,2.2,mcg,40.95,g,3.23,mg
25,"Cheese, ricotta, whole milk",100,g,0.306,g,0.36,g,1.15,g,3.36,g,0.216,g,1.02,g,2.47,g,0.376,g,0.043,g,0.001,g,0.02,g,0.015,g,0.005,g,0.002,g,0.007,g,0,g,0.251,g,0.199,g,0.125,g,0,g,0,mg,224,mg,6.86,g,0,mcg,0,mcg,48,mg,17.5,mg,0,mg,0,mcg,157,kcal,2.56,g,0.389,g,6.97,g,0,g,4,mcg_DFE,4,mcg,4,mcg,0,mcg,0.1,mg,0,mcg,0,mcg,19.7,mg,0.168,mg,162,mg,230,mg,7.81,g,127,mcg,0.327,mg,5.5,mcg,105,mg,0.27,g,0,mg,0.043,mg,11,g,127,mcg_RAE,0.78,mcg,0,mcg,0.099,mg,0,mg,0.2,mcg,0.27,mg,0,mg,0.6,mcg,72.9,g,0.56,mg
26,"Cheese, ricotta, part skim milk",100,g,0.151,g,0.105,g,0.808,g,2.442,g,0.277,g,0.866,g,1.92,g,0.19,g,0.07,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0.254,g,0.065,g,0.073,g,0,g,0,mg,272,mg,5.14,g,0,mcg,20,mcg,31,mg,16.3,mg,0.034,mg,0,mcg,138,kcal,2.314,g,0.26,g,4.927,g,0,g,13,mcg_DFE,13,mcg,13,mcg,0,mcg,0.44,mg,0,mcg,0,mcg,15,mg,0.078,mg,183,mg,125,mg,11.39,g,105,mcg,0.185,mg,16.7,mcg,99,mg,0.31,g,0,mg,0.021,mg,7.91,g,107,mcg_RAE,0.29,mcg,0,mcg,0.02,mg,0,mg,0.1,mcg,0.07,mg,0,mg,0.7,mcg,74.41,g,1.34,mg
27,"Cheese, swiss",100,g,0.766,g,0.874,g,2.92,g,8.34,g,0.566,g,3.18,g,7.07,g,1.08,g,0.129,g,0.001,g,0.06,g,0.046,g,0.009,g,0.002,g,0.018,g,0,g,0.679,g,0.541,g,0.326,g,0,g,0,mg,890,mg,1.44,g,1,mcg,60,mcg,93,mg,13.8,mg,0.047,mg,2,mcg,393,kcal,7.26,g,1.14,g,18.2,g,0,g,9,mcg_DFE,9,mcg,9,mcg,0,mcg,0.13,mg,8,mcg,1,mcg,33.4,mg,0.06,mg,574,mg,71,mg,27,g,287,mcg,0.303,mg,30.1,mcg,185,mg,0,g,0,mg,0.011,mg,31,g,292,mcg_RAE,3.02,mcg,0,mcg,0.07,mg,0,mg,0,mcg,0.6,mg,0,mg,1.4,mcg,37.6,g,4.37,mg
28,"Cheese, pasteurized process, American, vitamin D fortified",100,g,0.801,g,0.882,g,2.93,g,8.15,g,0.499,g,3.24,g,7.22,g,1.03,g,0.14,g,0.007,g,0.223,g,0.045,g,0.012,g,0.002,g,0.021,g,0.006,g,0.616,g,0.509,g,0.333,g,0,g,0,mg,866,mg,5.27,g,0,mcg,26,mcg,98,mg,19.2,mg,0.046,mg,4,mcg,366,kcal,7.3,g,1.09,g,18.1,g,0,g,8,mcg_DFE,8,mcg,8,mcg,0,mcg,0.48,mg,16,mcg,0,mcg,25.1,mg,0.095,mg,540,mg,149,mg,18,g,297,mcg,0.247,mg,20.4,mcg,1660,mg,2.63,g,0,mg,0.015,mg,30.6,g,300,mcg_RAE,1.45,mcg,0,mcg,0.056,mg,0,mg,7.5,mcg,0.79,mg,0,mg,3.2,mcg,39.6,g,2.42,mg
29,"Cheese spread, pasteurized process, American",100,g,0.513,g,0.632,g,2.181,g,5.908,g,0.56,g,2.434,g,5.221,g,0.4,g,0.223,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0.688,g,0.408,g,0.311,g,0,g,0,mg,562,mg,8.73,g,0,mcg,55,mcg,55,mg,36.2,mg,0.033,mg,0,mcg,290,kcal,6.219,g,0.624,g,13.327,g,0,g,7,mcg_DFE,7,mcg,7,mcg,0,mcg,0.33,mg,0,mcg,0,mcg,29,mg,0.131,mg,875,mg,242,mg,16.41,g,168,mcg,0.431,mg,11.3,mcg,1625,mg,7.32,g,0,mg,0.048,mg,21.23,g,173,mcg_RAE,0.4,mcg,0,mcg,0.117,mg,0,mg,0.4,mcg,0.19,mg,0,mg,1.8,mcg,47.65,g,2.59,mg
30,"Cream, fluid, half and half",100,g,0.303,g,0.351,g,1.148,g,3.207,g,0.246,g,1.221,g,2.905,g,0.466,g,0.041,g,0,g,0.02,g,0.018,g,0.003,g,0,g,0.006,g,0,g,0.247,g,0.202,g,0.127,g,0,g,0,mg,107,mg,4.3,g,0,mcg,22,mcg,35,mg,18.7,mg,0.009,mg,0,mcg,131,kcal,3.32,g,0.554,g,7.032,g,0,g,3,mcg_DFE,3,mcg,3,mcg,0,mcg,0.05,mg,0,mcg,0,mcg,10,mg,0.109,mg,95,mg,132,mg,3.13,g,95,mcg,0.194,mg,3.2,mcg,61,mg,4.13,g,0,mg,0.03,mg,11.5,g,97,mcg_RAE,0.19,mcg,0,mcg,0.05,mg,0.9,mg,0,mcg,0.25,mg,0,mg,1.3,mcg,80.57,g,0.39,mg
31,"Cream, fluid, light (coffee cream or table cream)",100,g,0.456,g,0.526,g,1.682,g,4.585,g,0.334,g,1.719,g,3.952,g,0.654,g,0.064,g,0,g,0.03,g,0.027,g,0.005,g,0.002,g,0.01,g,0,g,0.388,g,0.314,g,0.194,g,0,g,0,mg,91,mg,3.66,g,0,mcg,37,mcg,59,mg,17.4,mg,0.012,mg,0,mcg,195,kcal,4.525,g,0.789,g,10.176,g,0,g,2,mcg_DFE,2,mcg,2,mcg,0,mcg,0.05,mg,0,mcg,0,mcg,9,mg,0.09,mg,92,mg,136,mg,2.96,g,117,mcg,0.19,mg,4.6,mcg,72,mg,3.67,g,0,mg,0.023,mg,19.1,g,120,mcg_RAE,0.14,mcg,0,mcg,0.044,mg,0.8,mg,1.1,mcg,0.12,mg,0,mg,1.7,mcg,73.75,g,0.32,mg
