ingredient_id,ingredient_name,serving_size,serving_size_unit,10:0,10:0_unit,12:0,12:0_unit,14:0,14:0_unit,16:0,16:0_unit,16:1,16:1_unit,18:0,18:0_unit,18:1,18:1_unit,18:2,18:2_unit,18:3,18:3_unit,18:4,18:4_unit,20:1,20:1_unit,20:4,20:4_unit,20:5_n-3,20:5_n-3_unit,22:1,22:1_unit,22:5_n-3,22:5_n-3_unit,22:6_n-3,22:6_n-3_unit,4:0,4:0_unit,6:0,6:0_unit,8:0,8:0_unit,alcohol,alcohol_unit,caffeine,caffeine_unit,calcium,calcium_unit,carbohydrate,carbohydrate_unit,carotene_alpha,carotene_alpha_unit,carotene_beta,carotene_beta_unit,cholesterol,cholesterol_unit,choline_total,choline_total_unit,copper,copper_unit,cryptoxanthin_beta,cryptoxanthin_beta_unit,energy,energy_unit,fatty_acids_total_monounsaturated,fatty_acids_total_monounsaturated_unit,fatty_acids_total_polyunsaturated,fatty_acids_total_polyunsaturated_unit,fatty_acids_total_saturated,fatty_acids_total_saturated_unit,fiber_total_dietary,fiber_total_dietary_unit,folate_dfe,folate_dfe_unit,folate_food,folate_food_unit,folate_total,folate_total_unit,folic_acid,folic_acid_unit,iron,iron_unit,lutein+zeaxanthin,lutein+zeaxanthin_unit,lycopene,lycopene_unit,magnesium,magnesium_unit,niacin,niacin_unit,phosphorus,phosphorus_unit,potassium,potassium_unit,protein,protein_unit,retinol,retinol_unit,riboflavin,riboflavin_unit,selenium,selenium_unit,sodium,sodium_unit,sugars_total,sugars_total_unit,theobromine,theobromine_unit,thiamin,thiamin_unit,total_fat,total_fat_unit,vitamin_a_rae,vitamin_a_rae_unit,vitamin_b-12,vitamin_b-12_unit,vitamin_b-12_added,vitamin_b-12_added_unit,vitamin_b-6,vitamin_b-6_unit,vitamin_c,vitamin_c_unit,vitamin_d_(d2+d3),vitamin_d_(d2+d3)_unit,vitamin_e_(alpha-tocopherol),vitamin_e_(alpha-tocopherol)_unit,vitamin_e_added,vitamin_e_added_unit,vitamin_k_(phylloquinone),vitamin_k_(phylloquinone)_unit,water,water_unit,zinc,zinc_unit
1222,"Beverages, coffee and cocoa, instant, decaffeinated, with whitener and low calorie sweetener",100,g,0.764,g,5.672,g,2.14,g,1.233,g,0.002,g,0.535,g,0.952,g,0.338,g,0.011,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0.002,g,0.077,g,0.954,g,0,g,25,mg,60,mg,71.4,g,0,mcg,2,mcg,0,mg,16.8,mg,0.56,mg,0,mcg,440,kcal,0.954,g,0.349,g,11.376,g,4.8,g,5,mcg_DFE,5,mcg,5,mcg,0,mcg,3.06,mg,6,mcg,0,mcg,122,mg,4.655,mg,451,mg,1856,mg,9,g,0,mcg,0.109,mg,4,mcg,500,mg,34.98,g,324,mg,0.021,mg,13.21,g,0,mcg_RAE,0,mcg,0,mcg,0.03,mg,0,mg,0,mcg,0.09,mg,0,mg,1.7,mcg,3.1,g,1.01,mg
1223,"Beverages, tea, green, ready-to-drink, sweetened",100,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,5,mg,1,mg,6.2,g,0,mcg,0,mcg,0,mg,0,mg,0.005,mg,0,mcg,27,kcal,0,g,0,g,0,g,0,g,0,mcg_DFE,0,mcg,0,mcg,0,mcg,0,mg,0,mcg,0,mcg,0,mg,0,mg,31,mg,12,mg,0,g,0,mcg,0,mg,0,mcg,21,mg,5.32,g,1,mg,0,mg,0.22,g,0,mcg_RAE,0,mcg,0,mcg,0,mg,0,mg,0,mcg,0,mg,0,mg,0,mcg,93.54,g,0.01,mg
1224,"Beverages, tea, ready-to-drink, lemon, diet",100,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,8,mg,0,mg,0.41,g,0,mcg,0,mcg,0,mg,0,mg,0.005,mg,0,mcg,2,kcal,0,g,0,g,0,g,0,g,0,mcg_DFE,0,mcg,0,mcg,0,mcg,0,mg,0,mcg,0,mcg,0,mg,0,mg,0,mg,37,mg,0,g,0,mcg,0,mg,0,mcg,1,mg,0,g,0,mg,0,mg,0,g,0,mcg_RAE,0,mcg,0,mcg,0,mg,0,mg,0,mcg,0,mg,0,mg,0,mcg,99.55,g,0.01,mg
1225,"Beverages, coffee, brewed, prepared with tap water",100,g,0,g,0,g,0,g,0.002,g,0,g,0,g,0,g,0.001,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,40,mg,2,mg,0,g,0,mcg,0,mcg,0,mg,2.6,mg,0.002,mg,0,mcg,1,kcal,0.015,g,0.001,g,0.002,g,0,g,2,mcg_DFE,2,mcg,2,mcg,0,mcg,0.01,mg,0,mcg,0,mcg,3,mg,0.191,mg,3,mg,49,mg,0.12,g,0,mcg,0.076,mg,0,mcg,2,mg,0,g,0,mg,0.014,mg,0.02,g,0,mcg_RAE,0,mcg,0,mcg,0.001,mg,0,mg,0,mcg,0.01,mg,0,mg,0.1,mcg,99.39,g,0.02,mg
1226,"Beverages, coffee, brewed, espresso, restaurant-prepared",100,g,0,g,0,g,0,g,0.046,g,0,g,0,g,0,g,0.092,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,212,mg,2,mg,1.67,g,0,mcg,0,mcg,0,mg,2.6,mg,0.05,mg,0,mcg,9,kcal,0,g,0.092,g,0.092,g,0,g,1,mcg_DFE,1,mcg,1,mcg,0,mcg,0.13,mg,0,mcg,0,mcg,80,mg,5.207,mg,7,mg,115,mg,0.12,g,0,mcg,0.177,mg,0,mcg,14,mg,0,g,0,mg,0.001,mg,0.18,g,0,mcg_RAE,0,mcg,0,mcg,0.002,mg,0.2,mg,0,mcg,0.01,mg,0,mg,0.1,mcg,97.8,g,0.05,mg
1227,"Beverages, tea, black, ready-to-drink, lemon, diet",100,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,2,mg,0,mg,0.22,g,0,mcg,0,mcg,0,mg,0,mg,0.005,mg,0,mcg,1,kcal,0,g,0,g,0,g,0,g,0,mcg_DFE,0,mcg,0,mcg,0,mcg,0,mg,0,mcg,0,mcg,0,mg,0,mg,33,mg,14,mg,0,g,0,mcg,0,mg,0,mcg,17,mg,0,g,0,mg,0,mg,0,g,0,mcg_RAE,0,mcg,0,mcg,0,mg,0,mg,0,mcg,0,mg,0,mg,0,mcg,99.72,g,0,mg
1228,"Beverages, coffee, instant, regular, powder",100,g,0,g,0,g,0,g,0.146,g,0,g,0.035,g,0.04,g,0.18,g,0.015,g,0,g,0.001,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,3142,mg,141,mg,75.4,g,0,mcg,0,mcg,0,mg,101.9,mg,0.139,mg,0,mcg,353,kcal,0.041,g,0.196,g,0.197,g,0,g,0,mcg_DFE,0,mcg,0,mcg,0,mcg,4.41,mg,0,mcg,0,mcg,327,mg,28.173,mg,303,mg,3535,mg,12.2,g,0,mcg,0.074,mg,12.6,mcg,37,mg,0,g,0,mg,0.008,mg,0.5,g,0,mcg_RAE,0,mcg,0,mcg,0.029,mg,0,mg,0,mcg,0,mg,0,mg,1.9,mcg,3.1,g,0.35,mg
1229,"Beverages, aloe vera juice drink, fortified with Vitamin C",100,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,mg,8,mg,3.75,g,0,mcg,0,mcg,0,mg,0,mg,0,mg,0,mcg,15,kcal,0,g,0,g,0,g,0,g,0,mcg_DFE,0,mcg,0,mcg,0,mcg,0.15,mg,0,mcg,0,mcg,0,mg,0,mg,0,mg,0,mg,0,g,0,mcg,0,mg,0,mcg,8,mg,3.75,g,0,mg,0,mg,0,g,0,mcg_RAE,0,mcg,0,mcg,0,mg,3.8,mg,0,mcg,0,mg,0,mg,0,mcg,96.23,g,0,mg
1230,"Beverages, coffee, instant, decaffeinated, powder",100,g,0,g,0,g,0,g,0.075,g,0,g,0.018,g,0.021,g,0.093,g,0.008,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,0,g,122,mg,140,mg,76,g,0,mcg,0,mcg,0,mg,101.9,mg,0.069,mg,0,mcg,351,kcal,0.021,g,0.101,g,0.101,g,0,g,0,mcg_DFE,0,mcg,0,mcg,0,mcg,3.8,mg,0,mcg,0,mcg,311,mg,28.075,mg,286,mg,3501,mg,11.6,g,0,mcg,1.36,mg,17.3,mcg,23,mg,0,g,0,mg,0,mg,0.2,g,0,mcg_RAE,0,mcg,0,mcg,0,mg,0,mg,0,mcg,0,mg,0,mg,1.9,mcg,3.2,g,0.11,mg
1231,"Beverages, coffee, instant, mocha, sweetened",100,g,0.179,g,1.647,g,0.737,g,0.929,g,0.034,g,1.276,g,8.899,g,0.995,g,0.058,g,0,g,0.002,g,0,g,0,g,0,g,0,g,0,g,0.003,g,0.001,g,0.162,g,0,g,360,mg,271,mg,74.04,g,0,mcg,2,mcg,0,mg,31.3,mg,0.435,mg,0,mcg,460,kcal,8.934,g,1.053,g,4.934,g,1.9,g,9,mcg_DFE,9,mcg,9,mcg,0,mcg,0,mg,4,mcg,0,mcg,68,mg,2.263,mg,251,mg,1033,mg,5.29,g,0,mcg,0.028,mg,6.2,mcg,317,mg,58.2,g,294,mg,0.031,mg,15.87,g,1,mcg_RAE,0.45,mcg,0,mcg,0.055,mg,0.6,mg,0,mcg,0,mg,0,mg,1.5,mcg,1.7,g,0.96,mg
