recipe_name,recipe_category,servings,serving_size,serving_size_unit,ingredient_name,ingredient_amount,ingredient_unit
Ham or pork with mushroom sauce,Meat mixed dishes,1,100.44,g,"Soup, cream of mushroom, canned, condensed",20.0,g
Ham or pork with mushroom sauce,Meat mixed dishes,1,100.44,g,"Milk, NFS",10.0,g
Ham or pork with mushroom sauce,Meat mixed dishes,1,100.44,g,"Salt, table, iodized",0.44,g
Ham or pork with tomato-based sauce,Meat mixed dishes,1,100.44,g,"Pork, fresh, loin, whole, separable lean only, cooked, roasted",70.0,g
Ham or pork with tomato-based sauce,Meat mixed dishes,1,100.44,g,"Tomato products, canned, sauce",30.0,g
Ham or pork with tomato-based sauce,Meat mixed dishes,1,100.44,g,"Salt, table, iodized",0.44,g
Sausage with tomato-based sauce,Meat mixed dishes,1,100.4,g,"Pork sausage, link/patty, cooked, pan-fried",70.0,g
Sausage with tomato-based sauce,Meat mixed dishes,1,100.4,g,"Tomato products, canned, sauce",30.0,g
Sausage with tomato-based sauce,Meat mixed dishes,1,100.4,g,"Salt, table, iodized",0.4,g
Sausage gravy,Meat mixed dishes,1,100.0,g,White sauce or gravy,80.0,g
Sausage gravy,Meat mixed dishes,1,100.0,g,"Pork sausage, link/patty, cooked, pan-fried",20.0,g
"Pork stew, no potatoes, tomato-based sauce, Mexican style",Meat mixed dishes,1,1603.7,g,"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder), separable lean only, raw",908.0,g
"Pork stew, no potatoes, tomato-based sauce, Mexican style",Meat mixed dishes,1,1603.7,g,"Beverages, water, tap, drinking",237.0,g
"Pork stew, no potatoes, tomato-based sauce, Mexican style",Meat mixed dishes,1,1603.7,g,"Onions, raw",170.0,g
"Pork stew, no potatoes, tomato-based sauce, Mexican style",Meat mixed dishes,1,1603.7,g,"Wheat flour, white, all-purpose, enriched, bleached",23.4,g
"Pork stew, no potatoes, tomato-based sauce, Mexican style",Meat mixed dishes,1,1603.7,g,"Salt, table, iodized",11.0,g
"Pork stew, no potatoes, tomato-based sauce, Mexican style",Meat mixed dishes,1,1603.7,g,"Tomato products, canned, sauce",240.0,g
"Pork stew, no potatoes, tomato-based sauce, Mexican style",Meat mixed dishes,1,1603.7,g,Lard,7.5,g
"Pork stew, no potatoes, tomato-based sauce, Mexican style",Meat mixed dishes,1,1603.7,g,"Oil, corn, industrial and retail, all purpose salad or cooking",6.8,g
Pork or ham with soy-based sauce,Stir-fry and soy-based sauce mixtures,1,743.95,g,"Pork, fresh, loin, whole, separable lean only, cooked, roasted",340.2,g
Pork or ham with soy-based sauce,Stir-fry and soy-based sauce mixtures,1,743.95,g,"Vegetable oil, NFS",56.0,g
Pork or ham with soy-based sauce,Stir-fry and soy-based sauce mixtures,1,743.95,g,"Garlic, raw",16.875,g
Pork or ham with soy-based sauce,Stir-fry and soy-based sauce mixtures,1,743.95,g,"Ginger root, raw",6.0,g
Pork or ham with soy-based sauce,Stir-fry and soy-based sauce mixtures,1,743.95,g,"Onions, cooked, boiled, drained, without salt",125.0,g
Pork or ham with soy-based sauce,Stir-fry and soy-based sauce mixtures,1,743.95,g,"Onions, spring or scallions (includes tops and bulb), raw",48.0,g
Pork or ham with soy-based sauce,Stir-fry and soy-based sauce mixtures,1,743.95,g,Soy sauce made from soy and wheat (shoyu),31.875,g
Pork or ham with soy-based sauce,Stir-fry and soy-based sauce mixtures,1,743.95,g,"Soup, beef broth or bouillon canned, ready-to-serve",120.0,g
"Frankfurter or hot dog, with chili, no bun",Meat mixed dishes,1,121.0,g,"Frankfurter or hot dog, NFS",57.0,g
"Frankfurter or hot dog, with chili, no bun",Meat mixed dishes,1,121.0,g,"Chili con carne with beans, canned entree",64.0,g
Frankfurters or hot dogs with tomato-based sauce,Meat mixed dishes,1,100.4,g,"Frankfurter or hot dog, NFS",70.0,g
Frankfurters or hot dogs with tomato-based sauce,Meat mixed dishes,1,100.4,g,"Tomato products, canned, sauce",30.0,g
Frankfurters or hot dogs with tomato-based sauce,Meat mixed dishes,1,100.4,g,"Salt, table, iodized",0.4,g
Pork with chili and tomatoes,Meat mixed dishes,1,1375.05,g,"Pork, fresh, loin, whole, separable lean only, raw",680.4,g
Pork with chili and tomatoes,Meat mixed dishes,1,1375.05,g,Lard,12.0,g
Pork with chili and tomatoes,Meat mixed dishes,1,1375.05,g,"Onions, raw",75.0,g
Pork with chili and tomatoes,Meat mixed dishes,1,1375.05,g,"Tomatoes, red, ripe, raw, year round average",453.6,g
Pork with chili and tomatoes,Meat mixed dishes,1,1375.05,g,"Peppers, jalapeno, raw",150.0,g
Pork with chili and tomatoes,Meat mixed dishes,1,1375.05,g,"Salt, table, iodized",3.0,g
Pork with chili and tomatoes,Meat mixed dishes,1,1375.05,g,"Spices, pepper, black",1.05,g
"Stewed pork, Puerto Rican style",Meat mixed dishes,1,512.153,g,"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder), separable lean only, raw",340.2,g
"Stewed pork, Puerto Rican style",Meat mixed dishes,1,512.153,g,"Olives, pickled, canned or bottled, green",8.7,g
"Stewed pork, Puerto Rican style",Meat mixed dishes,1,512.153,g,"Oil, olive, salad or cooking",16.333,g
"Stewed pork, Puerto Rican style",Meat mixed dishes,1,512.153,g,"Tomato products, canned, puree, without salt added",62.5,g
"Stewed pork, Puerto Rican style",Meat mixed dishes,1,512.153,g,Puerto Rican seasoning with ham,79.92,g
"Stewed pork, Puerto Rican style",Meat mixed dishes,1,512.153,g,"Salt, table, iodized",4.5,g
"Chili con carne with beans, made with pork",Meat mixed dishes,1,1627.05,g,"Pork, fresh, ground, cooked",340.2,g
"Chili con carne with beans, made with pork",Meat mixed dishes,1,1627.05,g,"Onions, raw",110.0,g
"Chili con carne with beans, made with pork",Meat mixed dishes,1,1627.05,g,"Celery, raw",60.0,g
"Chili con carne with beans, made with pork",Meat mixed dishes,1,1627.05,g,"Spices, chili powder",5.2,g
"Chili con carne with beans, made with pork",Meat mixed dishes,1,1627.05,g,"Salt, table, iodized",6.0,g
"Chili con carne with beans, made with pork",Meat mixed dishes,1,1627.05,g,"Tomatoes, red, ripe, canned, packed in tomato juice",453.6,g
"Chili con carne with beans, made with pork",Meat mixed dishes,1,1627.05,g,"Tomato products, canned, sauce",226.8,g
"Chili con carne with beans, made with pork",Meat mixed dishes,1,1627.05,g,"Beans, kidney, red, mature seeds, canned, solids and liquids",425.25,g
Lamb or mutton with gravy,Meat mixed dishes,1,100.5,g,"Lamb, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/4"" fat, choice, cooked",70.0,g
Lamb or mutton with gravy,Meat mixed dishes,1,100.5,g,"Gravy, chicken, canned or bottled, ready-to-serve",30.0,g
Lamb or mutton with gravy,Meat mixed dishes,1,100.5,g,"Salt, table, iodized",0.5,g
Lamb or mutton goulash,Meat mixed dishes,1,1563.625,g,"Lamb, shoulder, whole (arm and blade), separable lean only, trimmed to 1/4"" fat, choice, raw",907.2,g
Lamb or mutton goulash,Meat mixed dishes,1,1563.625,g,"Vegetable oil, NFS",27.25,g
Lamb or mutton goulash,Meat mixed dishes,1,1563.625,g,"Onions, raw",240.0,g
Lamb or mutton goulash,Meat mixed dishes,1,1563.625,g,"Tomato juice, canned, with salt added",248.0,g
Lamb or mutton goulash,Meat mixed dishes,1,1563.625,g,"Salt, table, iodized",6.0,g
Lamb or mutton goulash,Meat mixed dishes,1,1563.625,g,"Spices, paprika",1.05,g
Lamb or mutton goulash,Meat mixed dishes,1,1563.625,g,"Beverages, water, tap, drinking",118.5,g
Lamb or mutton goulash,Meat mixed dishes,1,1563.625,g,"Wheat flour, white, all-purpose, enriched, bleached",15.625,g
"Stewed goat, Puerto Rican style",Meat mixed dishes,1,1165.225,g,"Game meat, goat, cooked, roasted",680.0,g
"Stewed goat, Puerto Rican style",Meat mixed dishes,1,1165.225,g,"Salt, table, iodized",9.0,g
"Stewed goat, Puerto Rican style",Meat mixed dishes,1,1165.225,g,"Garlic, raw",3.0,g
"Stewed goat, Puerto Rican style",Meat mixed dishes,1,1165.225,g,"Spices, pepper, black",0.525,g
"Stewed goat, Puerto Rican style",Meat mixed dishes,1,1165.225,g,"Vinegar, cider",15.0,g
"Stewed goat, Puerto Rican style",Meat mixed dishes,1,1165.225,g,"Onions, raw",113.4,g
"Stewed goat, Puerto Rican style",Meat mixed dishes,1,1165.225,g,"Pork, cured, salt pork, raw",28.35,g
"Stewed goat, Puerto Rican style",Meat mixed dishes,1,1165.225,g,"Pork, cured, ham, center slice, country-style, separable lean only, raw",56.7,g
"Stewed goat, Puerto Rican style",Meat mixed dishes,1,1165.225,g,"Olives, pickled, canned or bottled, green",33.25,g
"Stewed goat, Puerto Rican style",Meat mixed dishes,1,1165.225,g,"Tomatoes, red, ripe, raw, year round average",90.0,g
"Stewed goat, Puerto Rican style",Meat mixed dishes,1,1165.225,g,"Oil, olive, salad or cooking",112.0,g
"Stewed goat, Puerto Rican style",Meat mixed dishes,1,1165.225,g,"Pimento, canned",24.0,g
Veal with gravy,Meat mixed dishes,1,100.5,g,"Veal, leg (top round), separable lean and fat, cooked, braised",70.0,g
Veal with gravy,Meat mixed dishes,1,100.5,g,"Gravy, chicken, canned or bottled, ready-to-serve",30.0,g
Veal with gravy,Meat mixed dishes,1,100.5,g,"Salt, table, iodized",0.5,g
Veal scallopini,Meat mixed dishes,1,895.9250000000001,g,"Veal, composite of trimmed retail cuts, separable lean and fat, cooked",510.0,g
Veal scallopini,Meat mixed dishes,1,895.9250000000001,g,"Margarine, stick",112.0,g
Veal scallopini,Meat mixed dishes,1,895.9250000000001,g,"Cheese, parmesan, grated",25.0,g
Veal scallopini,Meat mixed dishes,1,895.9250000000001,g,"Mushrooms, cooked, as ingredient",156.0,g
Veal scallopini,Meat mixed dishes,1,895.9250000000001,g,"Soup, beef broth or bouillon, powder, dry",3.6,g
Veal scallopini,Meat mixed dishes,1,895.9250000000001,g,"Beverages, Wine, non-alcoholic",58.0,g
Veal scallopini,Meat mixed dishes,1,895.9250000000001,g,"Beverages, water, tap, drinking",29.625,g
Veal scallopini,Meat mixed dishes,1,895.9250000000001,g,"Salt, table, iodized",1.7,g
Veal with cream sauce,Meat mixed dishes,1,100.52,g,"Veal, leg (top round), separable lean and fat, cooked, braised",70.0,g
Veal with cream sauce,Meat mixed dishes,1,100.52,g,White sauce or gravy,30.0,g
Veal with cream sauce,Meat mixed dishes,1,100.52,g,"Salt, table, iodized",0.52,g
Veal with butter sauce,Meat mixed dishes,1,162.02900000000002,g,"Veal, leg (top round), separable lean and fat, raw",113.4,g
Veal with butter sauce,Meat mixed dishes,1,162.02900000000002,g,"Butter, salted",14.0,g
Veal with butter sauce,Meat mixed dishes,1,162.02900000000002,g,"Soup, chicken broth, ready-to-serve",30.0,g
Veal with butter sauce,Meat mixed dishes,1,162.02900000000002,g,"Salt, table, iodized",1.5,g
Veal with butter sauce,Meat mixed dishes,1,162.02900000000002,g,"Spices, paprika",0.525,g
Veal with butter sauce,Meat mixed dishes,1,162.02900000000002,g,"Wheat flour, white, all-purpose, enriched, bleached",2.604,g
Veal Marsala,Meat mixed dishes,1,819.633,g,"Veal, leg (top round), separable lean and fat, cooked, roasted",453.6,g
Veal Marsala,Meat mixed dishes,1,819.633,g,"Wheat flour, white, all-purpose, enriched, bleached",62.5,g
Veal Marsala,Meat mixed dishes,1,819.633,g,"Butter, salted",42.0,g
Veal Marsala,Meat mixed dishes,1,819.633,g,"Oil, olive, salad or cooking",14.0,g
Veal Marsala,Meat mixed dishes,1,819.633,g,"Mushrooms, cooked, as ingredient",78.0,g
Veal Marsala,Meat mixed dishes,1,819.633,g,"Salt, table, iodized",1.5,g
Veal Marsala,Meat mixed dishes,1,819.633,g,"Spices, pepper, black",0.525,g
Veal Marsala,Meat mixed dishes,1,819.633,g,"Beverages, Wine, non-alcoholic",160.008,g
Veal Marsala,Meat mixed dishes,1,819.633,g,"Parsley, fresh",7.5,g
Veal parmigiana,Meat mixed dishes,1,1551.65,g,"Veal, loin, separable lean and fat, raw",680.4,g
Veal parmigiana,Meat mixed dishes,1,1551.65,g,"Salt, table, iodized",3.0,g
Veal parmigiana,Meat mixed dishes,1,1551.65,g,"Wheat flour, white, all-purpose, enriched, bleached",31.25,g
Veal parmigiana,Meat mixed dishes,1,1551.65,g,"Egg, whole, raw, fresh",100.0,g
Veal parmigiana,Meat mixed dishes,1,1551.65,g,"Bread, crumbs, dry, grated, plain",81.0,g
Veal parmigiana,Meat mixed dishes,1,1551.65,g,"Cheese, mozzarella, low moisture, part-skim",170.0,g
Veal parmigiana,Meat mixed dishes,1,1551.65,g,"Tomato products, canned, sauce",425.25,g
Veal parmigiana,Meat mixed dishes,1,1551.65,g,"Cheese, parmesan, grated",18.75,g
Veal parmigiana,Meat mixed dishes,1,1551.65,g,"Vegetable oil, NFS",42.0,g
Veal cordon bleu,Meat mixed dishes,1,1135.6550000000002,g,"Veal, loin, separable lean and fat, cooked, roasted",680.4,g
Veal cordon bleu,Meat mixed dishes,1,1135.6550000000002,g,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",113.0,g
Veal cordon bleu,Meat mixed dishes,1,1135.6550000000002,g,"Cheese, swiss",84.0,g
Veal cordon bleu,Meat mixed dishes,1,1135.6550000000002,g,"Bread, crumbs, dry, grated, plain",108.0,g
Veal cordon bleu,Meat mixed dishes,1,1135.6550000000002,g,"Parsley, fresh",15.0,g
Veal cordon bleu,Meat mixed dishes,1,1135.6550000000002,g,"Salt, table, iodized",6.0,g
Veal cordon bleu,Meat mixed dishes,1,1135.6550000000002,g,"Spices, pepper, black",1.067,g
Veal cordon bleu,Meat mixed dishes,1,1135.6550000000002,g,"Egg, whole, raw, fresh",50.0,g
Veal cordon bleu,Meat mixed dishes,1,1135.6550000000002,g,"Beverages, water, tap, drinking",4.938,g
Veal cordon bleu,Meat mixed dishes,1,1135.6550000000002,g,"Wheat flour, white, all-purpose, enriched, bleached",31.25,g
Veal cordon bleu,Meat mixed dishes,1,1135.6550000000002,g,"Butter, salted",21.0,g
Veal cordon bleu,Meat mixed dishes,1,1135.6550000000002,g,"Vegetable oil, NFS",21.0,g
Venison or deer with tomato-based sauce,Meat mixed dishes,1,100.44,g,"Game meat, deer, shoulder clod, separable lean only, cooked, braised",70.0,g
Venison or deer with tomato-based sauce,Meat mixed dishes,1,100.44,g,"Tomato products, canned, sauce",30.0,g
Venison or deer with tomato-based sauce,Meat mixed dishes,1,100.44,g,"Salt, table, iodized",0.44,g
Venison or deer with gravy,Meat mixed dishes,1,100.5,g,"Game meat, deer, shoulder clod, separable lean only, cooked, braised",70.0,g
Venison or deer with gravy,Meat mixed dishes,1,100.5,g,"Gravy, chicken, canned or bottled, ready-to-serve",30.0,g
Venison or deer with gravy,Meat mixed dishes,1,100.5,g,"Salt, table, iodized",0.5,g
Chili con carne with venison/deer and beans,Meat mixed dishes,1,1624.95,g,"Game meat, deer, ground, cooked, pan-broiled",340.2,g
Chili con carne with venison/deer and beans,Meat mixed dishes,1,1624.95,g,"Onions, raw",110.0,g
Chili con carne with venison/deer and beans,Meat mixed dishes,1,1624.95,g,"Celery, raw",60.0,g
Chili con carne with venison/deer and beans,Meat mixed dishes,1,1624.95,g,"Spices, chili powder",5.2,g
Chili con carne with venison/deer and beans,Meat mixed dishes,1,1624.95,g,"Salt, table, iodized",3.5,g
Chili con carne with venison/deer and beans,Meat mixed dishes,1,1624.95,g,"Tomatoes, red, ripe, canned, packed in tomato juice",454.0,g
Chili con carne with venison/deer and beans,Meat mixed dishes,1,1624.95,g,"Tomato products, canned, sauce",226.8,g
Chili con carne with venison/deer and beans,Meat mixed dishes,1,1624.95,g,"Beans, kidney, red, mature seeds, canned, solids and liquids",425.25,g
Chicken or turkey cacciatore,Poultry mixed dishes,1,1729.5,g,"Chicken, NS as to part, fried, coated, skin / coating eaten",890.0,g
Chicken or turkey cacciatore,Poultry mixed dishes,1,1729.5,g,"Garlic, raw",9.0,g
Chicken or turkey cacciatore,Poultry mixed dishes,1,1729.5,g,"Vegetable oil, NFS",28.0,g
Chicken or turkey cacciatore,Poultry mixed dishes,1,1729.5,g,"Tomato products, canned, puree, without salt added",250.0,g
Chicken or turkey cacciatore,Poultry mixed dishes,1,1729.5,g,"Tomatoes, red, ripe, canned, packed in tomato juice",480.0,g
Chicken or turkey cacciatore,Poultry mixed dishes,1,1729.5,g,"Spices, oregano, dried",1.5,g
Chicken or turkey cacciatore,Poultry mixed dishes,1,1729.5,g,"Soup, chicken broth, less/reduced sodium, ready to serve",62.0,g
Chicken or turkey cacciatore,Poultry mixed dishes,1,1729.5,g,"Salt, table, iodized",9.0,g
Spaghetti sauce with poultry,"Pasta sauces, tomato-based",1,320.0,g,"Sauce, pasta, spaghetti/marinara, ready-to-serve",260.0,g
Spaghetti sauce with poultry,"Pasta sauces, tomato-based",1,320.0,g,"Turkey, ground",30.0,g
Spaghetti sauce with poultry,"Pasta sauces, tomato-based",1,320.0,g,"Chicken, broiler, rotisserie, BBQ, breast, meat only",30.0,g
Spaghetti sauce with poultry and added vegetables,"Pasta sauces, tomato-based",1,320.0,g,Spaghetti sauce with added vegetables,260.0,g
Spaghetti sauce with poultry and added vegetables,"Pasta sauces, tomato-based",1,320.0,g,"Turkey, ground",30.0,g
Spaghetti sauce with poultry and added vegetables,"Pasta sauces, tomato-based",1,320.0,g,"Chicken, broiler, rotisserie, BBQ, breast, meat only",30.0,g
"Stewed chicken with tomato-based sauce, Mexican style",Poultry mixed dishes,1,1493.1,g,"Chicken, NS as to part, rotisserie, skin not eaten",580.0,g
"Stewed chicken with tomato-based sauce, Mexican style",Poultry mixed dishes,1,1493.1,g,"Wheat flour, white, all-purpose, enriched, bleached",14.0,g
"Stewed chicken with tomato-based sauce, Mexican style",Poultry mixed dishes,1,1493.1,g,"Beverages, water, tap, drinking",474.0,g
"Stewed chicken with tomato-based sauce, Mexican style",Poultry mixed dishes,1,1493.1,g,"Salt, table, iodized",5.6,g
"Stewed chicken with tomato-based sauce, Mexican style",Poultry mixed dishes,1,1493.1,g,"Tomato products, canned, sauce",240.0,g
"Stewed chicken with tomato-based sauce, Mexican style",Poultry mixed dishes,1,1493.1,g,"Onions, raw",85.0,g
"Stewed chicken with tomato-based sauce, Mexican style",Poultry mixed dishes,1,1493.1,g,"Peppers, sweet, green, raw",37.5,g
"Stewed chicken with tomato-based sauce, Mexican style",Poultry mixed dishes,1,1493.1,g,"Shortening, vegetable, household, composite",30.0,g
"Stewed chicken with tomato-based sauce, Mexican style",Poultry mixed dishes,1,1493.1,g,"Oil, corn, industrial and retail, all purpose salad or cooking",27.0,g
Chili con carne with chicken or turkey and beans,Poultry mixed dishes,1,1655.3999999999999,g,"Beans, kidney, red, mature seeds, canned, solids and liquids",453.6,g
Chili con carne with chicken or turkey and beans,Poultry mixed dishes,1,1655.3999999999999,g,"Turkey, Ground, cooked",340.2,g
Chili con carne with chicken or turkey and beans,Poultry mixed dishes,1,1655.3999999999999,g,"Onions, raw",110.0,g
Chili con carne with chicken or turkey and beans,Poultry mixed dishes,1,1655.3999999999999,g,"Celery, raw",60.0,g
Chili con carne with chicken or turkey and beans,Poultry mixed dishes,1,1655.3999999999999,g,"Spices, chili powder",5.2,g
Chili con carne with chicken or turkey and beans,Poultry mixed dishes,1,1655.3999999999999,g,"Salt, table, iodized",6.0,g
Chili con carne with chicken or turkey and beans,Poultry mixed dishes,1,1655.3999999999999,g,"Tomatoes, red, ripe, canned, packed in tomato juice",453.6,g
Chili con carne with chicken or turkey and beans,Poultry mixed dishes,1,1655.3999999999999,g,"Tomato products, canned, sauce",226.8,g
Chicken with gravy,Poultry mixed dishes,1,100.44,g,"Chicken, NS as to part, rotisserie, skin not eaten",70.0,g
Chicken with gravy,Poultry mixed dishes,1,100.44,g,"Gravy, chicken, canned or bottled, ready-to-serve",30.0,g
Chicken with gravy,Poultry mixed dishes,1,100.44,g,"Salt, table, iodized",0.44,g
Chicken or turkey fricassee,Poultry mixed dishes,1,1632.265,g,"Chicken, NS as to part, rotisserie, skin not eaten",540.0,g
Chicken or turkey fricassee,Poultry mixed dishes,1,1632.265,g,"Wheat flour, white, all-purpose, enriched, bleached",62.5,g
Chicken or turkey fricassee,Poultry mixed dishes,1,1632.265,g,"Soup, chicken broth, ready-to-serve",840.0,g
Chicken or turkey fricassee,Poultry mixed dishes,1,1632.265,g,"Beverages, water, tap, drinking",118.5,g
Chicken or turkey fricassee,Poultry mixed dishes,1,1632.265,g,"Fat, chicken",68.265,g
Chicken or turkey fricassee,Poultry mixed dishes,1,1632.265,g,"Salt, table, iodized",3.0,g
Turkey with gravy,Poultry mixed dishes,1,100.44,g,"Turkey, whole, meat only, cooked, roasted",70.0,g
Turkey with gravy,Poultry mixed dishes,1,100.44,g,"Gravy, chicken, canned or bottled, ready-to-serve",30.0,g
Turkey with gravy,Poultry mixed dishes,1,100.44,g,"Salt, table, iodized",0.44,g
Chicken or turkey with cream sauce,Poultry mixed dishes,1,100.45,g,"Chicken, NS as to part, rotisserie, skin not eaten",70.0,g
Chicken or turkey with cream sauce,Poultry mixed dishes,1,100.45,g,White sauce or gravy,30.0,g
Chicken or turkey with cream sauce,Poultry mixed dishes,1,100.45,g,"Salt, table, iodized",0.45,g
Chicken or turkey with mushroom sauce,Poultry mixed dishes,1,100.36,g,"Chicken, NS as to part, rotisserie, skin not eaten",70.0,g
Chicken or turkey with mushroom sauce,Poultry mixed dishes,1,100.36,g,"Soup, cream of mushroom, canned, condensed",20.0,g
Chicken or turkey with mushroom sauce,Poultry mixed dishes,1,100.36,g,"Milk, NFS",10.0,g
Chicken or turkey with mushroom sauce,Poultry mixed dishes,1,100.36,g,"Salt, table, iodized",0.36,g
Chicken or turkey with teriyaki,Stir-fry and soy-based sauce mixtures,1,100.0,g,"Chicken, NS as to part, rotisserie, skin not eaten",90.0,g
Chicken or turkey with teriyaki,Stir-fry and soy-based sauce mixtures,1,100.0,g,"Sauce, teriyaki, ready-to-serve",10.0,g
"Chicken, shredded or pulled, with barbecue sauce",Poultry mixed dishes,1,100.0,g,"Chicken, NS as to part, rotisserie, skin not eaten",70.0,g
"Chicken, shredded or pulled, with barbecue sauce",Poultry mixed dishes,1,100.0,g,"Sauce, barbecue",30.0,g
Sweet and sour chicken or turkey,Stir-fry and soy-based sauce mixtures,1,100.0,g,"Restaurant, Chinese, sweet and sour chicken",100.0,g
"Sweet and sour chicken or turkey, without vegetables",Stir-fry and soy-based sauce mixtures,1,100.0,g,"Restaurant, Chinese, sweet and sour chicken",100.0,g
Chicken curry,Poultry mixed dishes,1,102.4,g,Curry sauce,40.0,g
Chicken curry,Poultry mixed dishes,1,102.4,g,Vegetables as ingredient in curry,40.0,g
Chicken curry,Poultry mixed dishes,1,102.4,g,"Chicken, NS as to part and cooking method, NS as to skin eaten",20.0,g
Chicken curry,Poultry mixed dishes,1,102.4,g,"Vegetable oil, NFS",2.0,g
Chicken curry,Poultry mixed dishes,1,102.4,g,"Salt, table, iodized",0.4,g
Chicken curry with rice,Poultry mixed dishes,1,100.0,g,Chicken curry,60.0,g
Chicken curry with rice,Poultry mixed dishes,1,100.0,g,"Rice, cooked, NFS",40.0,g
Chicken with mole sauce,Poultry mixed dishes,1,100.4,g,"Chicken, NS as to part, rotisserie, skin not eaten",70.0,g
Chicken with mole sauce,Poultry mixed dishes,1,100.4,g,Mole sauce,30.0,g
Chicken with mole sauce,Poultry mixed dishes,1,100.4,g,"Salt, table, iodized",0.4,g
Chicken or turkey with cheese sauce,Poultry mixed dishes,1,100.36,g,"Chicken, NS as to part, rotisserie, skin not eaten",70.0,g
Chicken or turkey with cheese sauce,Poultry mixed dishes,1,100.36,g,"Cheese sauce, prepared from recipe",30.0,g
Chicken or turkey with cheese sauce,Poultry mixed dishes,1,100.36,g,"Salt, table, iodized",0.36,g
Chicken or turkey cordon bleu,Poultry mixed dishes,1,1135.6550000000002,g,"Chicken breast, rotisserie, skin not eaten",680.4,g
Chicken or turkey cordon bleu,Poultry mixed dishes,1,1135.6550000000002,g,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",113.0,g
Chicken or turkey cordon bleu,Poultry mixed dishes,1,1135.6550000000002,g,"Cheese, swiss",84.0,g
Chicken or turkey cordon bleu,Poultry mixed dishes,1,1135.6550000000002,g,"Bread, crumbs, dry, grated, plain",108.0,g
Chicken or turkey cordon bleu,Poultry mixed dishes,1,1135.6550000000002,g,"Parsley, fresh",15.0,g
Chicken or turkey cordon bleu,Poultry mixed dishes,1,1135.6550000000002,g,"Salt, table, iodized",6.0,g
Chicken or turkey cordon bleu,Poultry mixed dishes,1,1135.6550000000002,g,"Spices, pepper, black",1.067,g
Chicken or turkey cordon bleu,Poultry mixed dishes,1,1135.6550000000002,g,"Egg, whole, raw, fresh",50.0,g
Chicken or turkey cordon bleu,Poultry mixed dishes,1,1135.6550000000002,g,"Beverages, water, tap, drinking",4.938,g
Chicken or turkey cordon bleu,Poultry mixed dishes,1,1135.6550000000002,g,"Wheat flour, white, all-purpose, enriched, bleached",31.25,g
Chicken or turkey cordon bleu,Poultry mixed dishes,1,1135.6550000000002,g,"Butter, salted",21.0,g
Chicken or turkey cordon bleu,Poultry mixed dishes,1,1135.6550000000002,g,"Vegetable oil, NFS",21.0,g
Chicken or turkey parmigiana,Poultry mixed dishes,1,1551.6499999999999,g,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",510.3,g
Chicken or turkey parmigiana,Poultry mixed dishes,1,1551.6499999999999,g,"Salt, table, iodized",3.0,g
Chicken or turkey parmigiana,Poultry mixed dishes,1,1551.6499999999999,g,"Wheat flour, white, all-purpose, enriched, bleached",31.25,g
Chicken or turkey parmigiana,Poultry mixed dishes,1,1551.6499999999999,g,"Egg, whole, raw, fresh",100.0,g
Chicken or turkey parmigiana,Poultry mixed dishes,1,1551.6499999999999,g,"Bread, crumbs, dry, grated, plain",81.0,g
Chicken or turkey parmigiana,Poultry mixed dishes,1,1551.6499999999999,g,"Cheese, mozzarella, low moisture, part-skim",170.0,g
Chicken or turkey parmigiana,Poultry mixed dishes,1,1551.6499999999999,g,"Tomato products, canned, sauce",425.25,g
Chicken or turkey parmigiana,Poultry mixed dishes,1,1551.6499999999999,g,"Cheese, parmesan, grated",18.75,g
Chicken or turkey parmigiana,Poultry mixed dishes,1,1551.6499999999999,g,"Vegetable oil, NFS",42.0,g
Chicken or turkey parmigiana,Poultry mixed dishes,1,1551.6499999999999,g,"Chicken, broilers or fryers, breast, skinless, boneless, meat only, with added solution, raw",170.1,g
Orange chicken,Stir-fry and soy-based sauce mixtures,1,100.0,g,"Restaurant, Chinese, orange chicken",100.0,g
Sesame chicken,Stir-fry and soy-based sauce mixtures,1,100.0,g,"Restaurant, Chinese, sesame chicken",100.0,g
Chicken kiev,Poultry mixed dishes,1,100.0,g,"Fast Foods, Fried Chicken, Breast, meat and skin and breading",90.3,g
Chicken kiev,Poultry mixed dishes,1,100.0,g,"Butter, salted",9.7,g
"Stuffed chicken, drumstick or breast, Puerto Rican style",Poultry mixed dishes,1,1080.0,g,"Chicken, NS as to part, rotisserie, skin not eaten",708.0,g
"Stuffed chicken, drumstick or breast, Puerto Rican style",Poultry mixed dishes,1,1080.0,g,"Pork, cured, ham, extra lean and regular, canned, unheated",60.0,g
"Stuffed chicken, drumstick or breast, Puerto Rican style",Poultry mixed dishes,1,1080.0,g,"Cheese, swiss",60.0,g
"Stuffed chicken, drumstick or breast, Puerto Rican style",Poultry mixed dishes,1,1080.0,g,"Egg, whole, cooked, hard-boiled",150.0,g
"Stuffed chicken, drumstick or breast, Puerto Rican style",Poultry mixed dishes,1,1080.0,g,"Pimento, canned",20.0,g
